experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12a_train01,1,2.747715,2.769643,0.005629,0.250571,2.76938,0.006849,0.250621,2.766625,0.003436,0.251302
M1/N7/E11a/T12a_train01,2,2.58825,2.754406,0.005629,0.254451,2.751569,0.006849,0.255141,2.750856,0.003436,0.255324
M1/N7/E11a/T12a_train01,3,2.456122,2.732205,0.339587,0.260256,2.725887,0.349315,0.261836,2.727659,0.371134,0.261396
M1/N7/E11a/T12a_train01,4,2.33639,2.701816,0.354597,0.268485,2.691107,0.363014,0.271227,2.69584,0.395189,0.270027
M1/N7/E11a/T12a_train01,5,2.218442,2.663353,0.354597,0.279357,2.64754,0.363014,0.283508,2.655519,0.395189,0.281454
M1/N7/E11a/T12a_train01,6,2.125324,2.61738,0.354597,0.293,2.595345,0.363014,0.298944,2.607158,0.395189,0.295863
M1/N7/E11a/T12a_train01,7,2.053501,2.564847,0.354597,0.309382,2.535565,0.363014,0.317516,2.551952,0.395189,0.313179
M1/N7/E11a/T12a_train01,8,1.93842,2.506757,0.354597,0.328334,2.469324,0.363014,0.339053,2.491186,0.395189,0.333168
M1/N7/E11a/T12a_train01,9,1.88817,2.447519,0.354597,0.348286,2.401619,0.363014,0.361817,2.429449,0.395189,0.354188
M1/N7/E11a/T12a_train01,10,1.872843,2.390015,0.354597,0.367912,2.335807,0.363014,0.38431,2.370051,0.395189,0.374744
M1/N7/E11a/T12a_train01,11,1.858051,2.336718,0.354597,0.385939,2.274878,0.363014,0.405073,2.315462,0.395189,0.393527
M1/N7/E11a/T12a_train01,12,1.851263,2.292228,0.354597,0.400564,2.224598,0.363014,0.421878,2.270611,0.395189,0.408551
M1/N7/E11a/T12a_train01,13,1.784064,2.255178,0.354597,0.412285,2.183406,0.363014,0.435252,2.233967,0.395189,0.420364
M1/N7/E11a/T12a_train01,14,1.764589,2.226163,0.354597,0.421105,2.152256,0.363014,0.445043,2.206287,0.395189,0.428882
M1/N7/E11a/T12a_train01,15,1.699152,2.203442,0.363977,0.427795,2.129459,0.369863,0.451984,2.185778,0.398625,0.434899
M1/N7/E11a/T12a_train01,16,1.678435,2.187896,0.375235,0.432327,2.116069,0.383562,0.455921,2.173115,0.415808,0.438473
M1/N7/E11a/T12a_train01,17,1.653292,2.175928,0.378987,0.435893,2.107836,0.39726,0.458249,2.164518,0.415808,0.440878
M1/N7/E11a/T12a_train01,18,1.602014,2.169098,0.386492,0.438071,2.106365,0.39726,0.45856,2.16163,0.415808,0.441622
M1/N7/E11a/T12a_train01,19,1.549761,2.164816,0.39212,0.439612,2.108806,0.39726,0.457669,2.161824,0.412371,0.441474
M1/N7/E11a/T12a_train01,20,1.515191,2.162724,0.401501,0.440641,2.114279,0.39726,0.455881,2.164529,0.412371,0.440651
M1/N7/E11a/T12a_train01,21,1.492691,2.160184,0.403377,0.441945,2.119908,0.39726,0.454068,2.167096,0.415808,0.439969
M1/N7/E11a/T12a_train01,22,1.457242,2.157642,0.403377,0.443368,2.126073,0.39726,0.452147,2.170259,0.415808,0.439133
M1/N7/E11a/T12a_train01,23,1.448194,2.154615,0.405253,0.445107,2.132542,0.39726,0.450222,2.173613,0.415808,0.438305
M1/N7/E11a/T12a_train01,24,1.377796,2.151325,0.414634,0.446996,2.13935,0.39726,0.448191,2.177465,0.415808,0.43731
M1/N7/E11a/T12a_train01,25,1.380788,2.146061,0.424015,0.449649,2.144653,0.39726,0.446716,2.180332,0.412371,0.43667
M1/N7/E11a/T12a_train01,26,1.331624,2.139032,0.43152,0.452993,2.148866,0.40411,0.445624,2.182177,0.412371,0.436418
M1/N7/E11a/T12a_train01,27,1.319893,2.128752,0.448405,0.457546,2.15043,0.410959,0.445472,2.181952,0.426117,0.436858
