experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11b/T12b_train00,1,2.85007,2.772614,0.29602,0.250129,2.777418,0.254545,0.248905,2.781247,0.231818,0.247943
M1/N8/E11b/T12b_train00,2,2.717631,2.755289,0.29602,0.25452,2.76029,0.254545,0.25321,2.763357,0.231818,0.252413
M1/N8/E11b/T12b_train00,3,2.591916,2.727328,0.29602,0.261934,2.733566,0.254545,0.26022,2.736559,0.231818,0.259399
M1/N8/E11b/T12b_train00,4,2.468381,2.694411,0.29602,0.270935,2.701371,0.254545,0.268918,2.703231,0.231818,0.268341
M1/N8/E11b/T12b_train00,5,2.366793,2.65509,0.29602,0.282189,2.663544,0.254545,0.279612,2.663846,0.231818,0.279393
M1/N8/E11b/T12b_train00,6,2.243467,2.615375,0.29602,0.294046,2.625146,0.254545,0.290925,2.623838,0.231818,0.291096
M1/N8/E11b/T12b_train00,7,2.199075,2.565063,0.29602,0.309675,2.576733,0.254545,0.305796,2.5725,0.231818,0.306739
M1/N8/E11b/T12b_train00,8,2.10705,2.510387,0.29602,0.327395,2.524314,0.254545,0.322575,2.517311,0.231818,0.324284
M1/N8/E11b/T12b_train00,9,2.059063,2.449759,0.29602,0.347621,2.465751,0.254545,0.341933,2.454729,0.231818,0.344841
M1/N8/E11b/T12b_train00,10,1.993623,2.392485,0.29602,0.366992,2.409509,0.254545,0.360928,2.39345,0.231818,0.365492
M1/N8/E11b/T12b_train00,11,1.965621,2.330919,0.29602,0.387651,2.350113,0.254545,0.381064,2.32834,0.231818,0.387563
M1/N8/E11b/T12b_train00,12,1.903542,2.275329,0.29602,0.405568,2.296527,0.254545,0.398626,2.270088,0.231818,0.406809
M1/N8/E11b/T12b_train00,13,1.872747,2.230691,0.29602,0.419399,2.25353,0.254545,0.412374,2.222266,0.231818,0.422372
M1/N8/E11b/T12b_train00,14,1.902016,2.19238,0.298507,0.430554,2.218248,0.254545,0.423175,2.18187,0.231818,0.434958
M1/N8/E11b/T12b_train00,15,1.905287,2.161292,0.380597,0.438947,2.189477,0.327273,0.431484,2.149604,0.286364,0.444584
M1/N8/E11b/T12b_train00,16,1.838736,2.137913,0.460199,0.444678,2.169332,0.409091,0.436833,2.127185,0.395455,0.450732
M1/N8/E11b/T12b_train00,17,1.824787,2.120131,0.415423,0.448548,2.156084,0.409091,0.439587,2.113,0.322727,0.453462
M1/N8/E11b/T12b_train00,18,1.75851,2.109829,0.400498,0.450575,2.149723,0.336364,0.440607,2.106571,0.295455,0.454265
M1/N8/E11b/T12b_train00,19,1.761216,2.102399,0.365672,0.451872,2.147363,0.3,0.440482,2.104216,0.272727,0.453742
M1/N8/E11b/T12b_train00,20,1.733915,2.100705,0.340796,0.451742,2.149951,0.263636,0.438869,2.108419,0.254545,0.451351
M1/N8/E11b/T12b_train00,21,1.658194,2.100467,0.328358,0.451163,2.155439,0.254545,0.436515,2.115197,0.245455,0.448257
M1/N8/E11b/T12b_train00,22,1.668555,2.105219,0.320896,0.449559,2.165633,0.263636,0.432842,2.126632,0.231818,0.443848
M1/N8/E11b/T12b_train00,23,1.6439,2.113434,0.31592,0.447088,2.178915,0.254545,0.428339,2.142228,0.231818,0.438448
M1/N8/E11b/T12b_train00,24,1.604132,2.117597,0.323383,0.445959,2.188013,0.263636,0.425482,2.151648,0.236364,0.43554
M1/N8/E11b/T12b_train00,25,1.604308,2.11525,0.335821,0.446555,2.191715,0.263636,0.424162,2.154674,0.254545,0.434388
M1/N8/E11b/T12b_train00,26,1.594728,2.107671,0.383085,0.449259,2.188256,0.3,0.425548,2.149729,0.281818,0.436592
M1/N8/E11b/T12b_train00,27,1.547733,2.103465,0.487562,0.451062,2.188608,0.418182,0.425844,2.146999,0.381818,0.438457
M1/N8/E11b/T12b_train00,28,1.47202,2.09179,0.5199,0.454948,2.183069,0.418182,0.427699,2.138116,0.436364,0.441808
M1/N8/E11b/T12b_train00,29,1.476616,2.084545,0.522388,0.457339,2.182536,0.409091,0.427623,2.135384,0.427273,0.4426
M1/N8/E11b/T12b_train00,30,1.413647,2.074119,0.524876,0.461409,2.179057,0.381818,0.428903,2.130441,0.459091,0.444642
M1/N8/E11b/T12b_train00,31,1.465076,2.058285,0.49005,0.466932,2.171945,0.381818,0.431489,2.119603,0.445455,0.448832
M1/N8/E11b/T12b_train00,32,1.405138,2.042202,0.4801,0.472513,2.1657,0.381818,0.433387,2.111373,0.45,0.451497
M1/N8/E11b/T12b_train00,33,1.362685,2.02266,0.482587,0.479512,2.157239,0.390909,0.436149,2.100452,0.454545,0.455389
M1/N8/E11b/T12b_train00,34,1.364568,1.999107,0.5,0.487905,2.146894,0.390909,0.439411,2.088512,0.454545,0.459248
M1/N8/E11b/T12b_train00,35,1.306393,1.969099,0.517413,0.498402,2.13185,0.390909,0.444123,2.071885,0.445455,0.464525
M1/N8/E11b/T12b_train00,36,1.27281,1.935837,0.537313,0.509941,2.117166,0.381818,0.448723,2.055589,0.454545,0.469236
M1/N8/E11b/T12b_train00,37,1.278778,1.898049,0.562189,0.522819,2.098516,0.372727,0.454523,2.035705,0.454545,0.475122
M1/N8/E11b/T12b_train00,38,1.217899,1.870052,0.572139,0.533093,2.092006,0.381818,0.456552,2.027115,0.436364,0.4774
M1/N8/E11b/T12b_train00,39,1.214638,1.836972,0.58209,0.544829,2.081878,0.381818,0.459578,2.015129,0.431818,0.48076
M1/N8/E11b/T12b_train00,40,1.188887,1.807517,0.597015,0.555817,2.075315,0.418182,0.461527,2.008609,0.45,0.481932
M1/N8/E11b/T12b_train00,41,1.162553,1.774011,0.604478,0.567378,2.063449,0.427273,0.465171,1.996278,0.440909,0.485144
M1/N8/E11b/T12b_train00,42,1.150601,1.741972,0.619403,0.578824,2.055583,0.436364,0.467472,1.987978,0.427273,0.487026
M1/N8/E11b/T12b_train00,43,1.149101,1.705987,0.631841,0.59176,2.047058,0.445455,0.470149,1.977848,0.422727,0.489912
M1/N8/E11b/T12b_train00,44,1.097842,1.67206,0.644279,0.604246,2.045587,0.445455,0.470467,1.975834,0.418182,0.489547
M1/N8/E11b/T12b_train00,45,1.057599,1.63319,0.644279,0.618125,2.04285,0.454545,0.471053,1.973516,0.409091,0.489119
M1/N8/E11b/T12b_train00,46,1.02939,1.592002,0.656716,0.632234,2.03931,0.454545,0.471807,1.969546,0.409091,0.489371
M1/N8/E11b/T12b_train00,47,1.02802,1.551556,0.666667,0.645648,2.040412,0.463636,0.470753,1.972173,0.390909,0.486429
M1/N8/E11b/T12b_train00,48,1.011147,1.51628,0.681592,0.658168,2.0455,0.472727,0.468762,1.977913,0.381818,0.48368
M1/N8/E11b/T12b_train00,49,0.97601,1.475845,0.696517,0.670986,2.049337,0.472727,0.466567,1.983311,0.4,0.480154
M1/N8/E11b/T12b_train00,50,0.953244,1.435642,0.706468,0.683639,2.053117,0.463636,0.464513,1.987072,0.409091,0.477924
M1/N8/E11b/T12b_train00,51,0.920661,1.395066,0.711443,0.696353,2.054464,0.445455,0.463506,1.987502,0.4,0.477797
M1/N8/E11b/T12b_train00,52,0.956296,1.35044,0.723881,0.708941,2.054583,0.418182,0.462664,1.988204,0.390909,0.476129
M1/N8/E11b/T12b_train00,53,0.923616,1.317654,0.726368,0.719422,2.065913,0.409091,0.458824,2.00012,0.390909,0.472156
M1/N8/E11b/T12b_train00,54,0.888737,1.278765,0.743781,0.730478,2.07344,0.4,0.455787,2.005686,0.390909,0.469983
M1/N8/E11b/T12b_train00,55,0.873523,1.230785,0.753731,0.742234,2.072835,0.409091,0.455476,2.00234,0.386364,0.470227
M1/N8/E11b/T12b_train00,56,0.837085,1.190359,0.753731,0.751879,2.077899,0.4,0.453602,2.008699,0.390909,0.467258
M1/N8/E11b/T12b_train00,57,0.841858,1.151738,0.758706,0.761631,2.08405,0.381818,0.451575,2.015606,0.386364,0.465024
M1/N8/E11b/T12b_train00,58,0.813703,1.112741,0.776119,0.770893,2.094848,0.363636,0.446941,2.024267,0.377273,0.462189
M1/N8/E11b/T12b_train00,59,0.811208,1.071932,0.78607,0.780521,2.102706,0.363636,0.443321,2.025814,0.390909,0.462341
M1/N8/E11b/T12b_train00,60,0.776549,1.024492,0.788557,0.790646,2.107374,0.363636,0.441123,2.02651,0.395455,0.462375
