experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E10b/T12a_train00,1,2.880953,2.799429,0.068702,0.24351,2.797335,0.055944,0.243972,2.799538,0.045455,0.243441
M1/N9/E10b/T12a_train00,2,2.741669,2.782815,0.070611,0.247493,2.781302,0.055944,0.247838,2.783779,0.048951,0.247225
M1/N9/E10b/T12a_train00,3,2.582747,2.76368,0.068702,0.252175,2.763235,0.062937,0.25228,2.765715,0.048951,0.251647
M1/N9/E10b/T12a_train00,4,2.475216,2.739074,0.068702,0.258379,2.739708,0.062937,0.258237,2.742593,0.048951,0.257478
M1/N9/E10b/T12a_train00,5,2.322115,2.708977,0.278626,0.266242,2.710836,0.314685,0.26581,2.714338,0.27972,0.264865
M1/N9/E10b/T12a_train00,6,2.233873,2.673293,0.274809,0.275956,2.676732,0.314685,0.275122,2.681045,0.27972,0.273945
M1/N9/E10b/T12a_train00,7,2.137828,2.628721,0.381679,0.288674,2.634459,0.356643,0.287206,2.639747,0.381119,0.285758
M1/N9/E10b/T12a_train00,8,2.053154,2.575948,0.400763,0.304543,2.584349,0.34965,0.302278,2.591053,0.381119,0.300448
M1/N9/E10b/T12a_train00,9,1.965431,2.516583,0.375954,0.323343,2.527858,0.335664,0.320145,2.536579,0.356643,0.317774
M1/N9/E10b/T12a_train00,10,1.891454,2.451994,0.375954,0.344706,2.46649,0.335664,0.340389,2.477732,0.356643,0.337367
M1/N9/E10b/T12a_train00,11,1.871624,2.386049,0.375954,0.367091,2.40387,0.335664,0.36157,2.418143,0.356643,0.357789
M1/N9/E10b/T12a_train00,12,1.81503,2.32287,0.375954,0.388541,2.343778,0.335664,0.381954,2.361652,0.356643,0.377234
M1/N9/E10b/T12a_train00,13,1.766812,2.262879,0.379771,0.408308,2.286568,0.335664,0.400961,2.308715,0.36014,0.39505
M1/N9/E10b/T12a_train00,14,1.725508,2.209373,0.444656,0.424922,2.235624,0.377622,0.417175,2.262444,0.391608,0.409873
M1/N9/E10b/T12a_train00,15,1.713719,2.162557,0.46374,0.438321,2.19138,0.384615,0.430446,2.223017,0.412587,0.421637
M1/N9/E10b/T12a_train00,16,1.722243,2.123788,0.442748,0.448273,2.155258,0.398601,0.440506,2.191629,0.356643,0.430121
M1/N9/E10b/T12a_train00,17,1.621202,2.09164,0.322519,0.45564,2.126127,0.356643,0.447985,2.167139,0.300699,0.435991
M1/N9/E10b/T12a_train00,18,1.598707,2.063641,0.284351,0.461524,2.102,0.321678,0.453712,2.147051,0.27972,0.440283
M1/N9/E10b/T12a_train00,19,1.577344,2.0408,0.278626,0.465881,2.08358,0.321678,0.457721,2.132205,0.27972,0.442972
M1/N9/E10b/T12a_train00,20,1.550016,2.021993,0.280534,0.469643,2.070088,0.321678,0.460586,2.1216,0.27972,0.444755
M1/N9/E10b/T12a_train00,21,1.50969,2.005163,0.28626,0.473446,2.059515,0.321678,0.462956,2.113242,0.27972,0.44624
M1/N9/E10b/T12a_train00,22,1.462847,1.989862,0.288168,0.477515,2.050935,0.321678,0.465149,2.106578,0.27972,0.44764
M1/N9/E10b/T12a_train00,23,1.426289,1.97421,0.29771,0.4826,2.042978,0.321678,0.467631,2.100247,0.286713,0.449461
M1/N9/E10b/T12a_train00,24,1.399702,1.959534,0.316794,0.488125,2.036713,0.342657,0.469986,2.095278,0.293706,0.45124
M1/N9/E10b/T12a_train00,25,1.336693,1.945546,0.339695,0.493839,2.031507,0.356643,0.472218,2.091479,0.300699,0.45276
M1/N9/E10b/T12a_train00,26,1.327635,1.930304,0.377863,0.500004,2.025622,0.370629,0.474654,2.08707,0.307692,0.454419
M1/N9/E10b/T12a_train00,27,1.310067,1.914235,0.391221,0.506576,2.01995,0.370629,0.477045,2.082524,0.321678,0.456112
M1/N9/E10b/T12a_train00,28,1.264848,1.896639,0.414122,0.513673,2.014057,0.384615,0.479459,2.077819,0.335664,0.457738
M1/N9/E10b/T12a_train00,29,1.253367,1.877806,0.419847,0.520727,2.00746,0.391608,0.481794,2.072887,0.339161,0.459052
M1/N9/E10b/T12a_train00,30,1.208437,1.856722,0.435115,0.528484,2.000713,0.391608,0.484115,2.067513,0.346154,0.460394
M1/N9/E10b/T12a_train00,31,1.163192,1.833622,0.45229,0.536608,1.993557,0.398601,0.486362,2.061764,0.346154,0.461621
M1/N9/E10b/T12a_train00,32,1.105156,1.807666,0.469466,0.545209,1.985376,0.398601,0.488674,2.055317,0.346154,0.462731
M1/N9/E10b/T12a_train00,33,1.092896,1.780157,0.480916,0.554274,1.977485,0.391608,0.490847,2.049089,0.346154,0.463736
M1/N9/E10b/T12a_train00,34,1.108561,1.747965,0.494275,0.564104,1.967388,0.405594,0.493326,2.041005,0.34965,0.464908
M1/N9/E10b/T12a_train00,35,1.05331,1.715657,0.498092,0.574259,1.958947,0.41958,0.495482,2.034297,0.356643,0.465906
M1/N9/E10b/T12a_train00,36,1.035366,1.679574,0.509542,0.585476,1.948996,0.433566,0.498025,2.026631,0.36014,0.467169
M1/N9/E10b/T12a_train00,37,0.990807,1.643909,0.517176,0.596509,1.940474,0.433566,0.500307,2.020814,0.367133,0.468055
