experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E11a/T12b_train01,1,2.792297,2.777842,0.018832,0.248841,2.78268,0.02069,0.247637,2.784249,0.010309,0.247235
M1/N9/E11a/T12b_train01,2,2.670525,2.763668,0.05838,0.252372,2.77019,0.048276,0.250697,2.771384,0.044674,0.250405
M1/N9/E11a/T12b_train01,3,2.52828,2.743917,0.327684,0.257407,2.752967,0.227586,0.255008,2.753421,0.257732,0.254935
M1/N9/E11a/T12b_train01,4,2.425491,2.718133,0.327684,0.264168,2.730731,0.227586,0.260732,2.73031,0.257732,0.260933
M1/N9/E11a/T12b_train01,5,2.316116,2.685244,0.327684,0.27309,2.702284,0.227586,0.268312,2.700863,0.257732,0.268846
M1/N9/E11a/T12b_train01,6,2.180093,2.644665,0.327684,0.284553,2.667119,0.227586,0.278077,2.664687,0.257732,0.27898
M1/N9/E11a/T12b_train01,7,2.104222,2.596689,0.327684,0.298756,2.625666,0.227586,0.290143,2.622089,0.257732,0.291492
M1/N9/E11a/T12b_train01,8,2.006105,2.541372,0.327684,0.315962,2.577756,0.227586,0.304792,2.572921,0.257732,0.306672
M1/N9/E11a/T12b_train01,9,1.921853,2.480364,0.329567,0.335866,2.52502,0.227586,0.321709,2.518743,0.261168,0.324222
M1/N9/E11a/T12b_train01,10,1.841488,2.415002,0.384181,0.358043,2.468698,0.262069,0.34054,2.460822,0.316151,0.343754
M1/N9/E11a/T12b_train01,11,1.774505,2.348148,0.504708,0.381275,2.411296,0.37931,0.36025,2.401779,0.450172,0.364167
M1/N9/E11a/T12b_train01,12,1.753402,2.28265,0.487759,0.404116,2.355371,0.386207,0.379636,2.344073,0.446735,0.384246
M1/N9/E11a/T12b_train01,13,1.713198,2.22093,0.440678,0.425202,2.303472,0.4,0.397375,2.290089,0.426117,0.402698
M1/N9/E11a/T12b_train01,14,1.663189,2.164573,0.419962,0.443658,2.256955,0.406897,0.412736,2.241206,0.408935,0.418738
M1/N9/E11a/T12b_train01,15,1.688385,2.117753,0.416196,0.458181,2.219158,0.4,0.424609,2.201028,0.402062,0.431186
M1/N9/E11a/T12b_train01,16,1.656165,2.078811,0.416196,0.469666,2.188595,0.4,0.433701,2.167997,0.398625,0.440823
M1/N9/E11a/T12b_train01,17,1.605441,2.047076,0.416196,0.478728,2.164404,0.4,0.440609,2.141394,0.408935,0.448213
M1/N9/E11a/T12b_train01,18,1.595262,2.022467,0.423729,0.485781,2.14618,0.4,0.445792,2.120961,0.408935,0.453792
