experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train00,1,3.848343,3.844477,0.024119,0.146679,3.843077,0.034014,0.146872,3.838174,0.02381,0.147606
M1/N7/E10b/T12e_train00,2,3.843395,3.840802,0.024119,0.147213,3.840406,0.034014,0.147262,3.834856,0.02381,0.14809
M1/N7/E10b/T12e_train00,3,3.832839,3.837096,0.024119,0.147755,3.83766,0.034014,0.147664,3.831477,0.02381,0.148587
M1/N7/E10b/T12e_train00,4,3.819695,3.833411,0.022263,0.148296,3.834846,0.034014,0.148078,3.828084,0.040816,0.149087
M1/N7/E10b/T12e_train00,5,3.79774,3.829757,0.022263,0.148835,3.832002,0.034014,0.148499,3.824722,0.040816,0.149586
M1/N7/E10b/T12e_train00,6,3.770406,3.826088,0.022263,0.149379,3.829097,0.034014,0.14893,3.821305,0.040816,0.150095
M1/N7/E10b/T12e_train00,7,3.733861,3.822323,0.044527,0.149939,3.826115,0.040816,0.149374,3.817829,0.057823,0.150614
M1/N7/E10b/T12e_train00,8,3.696939,3.81841,0.090909,0.150524,3.823009,0.054422,0.149838,3.814233,0.102041,0.151154
M1/N7/E10b/T12e_train00,9,3.655581,3.814389,0.090909,0.151128,3.819814,0.054422,0.150317,3.810523,0.102041,0.151713
M1/N7/E10b/T12e_train00,10,3.596965,3.810183,0.090909,0.151762,3.816476,0.054422,0.15082,3.806663,0.102041,0.152298
M1/N7/E10b/T12e_train00,11,3.557307,3.80577,0.090909,0.152431,3.812959,0.054422,0.151352,3.802629,0.102041,0.152912
M1/N7/E10b/T12e_train00,12,3.516015,3.801143,0.090909,0.153135,3.809256,0.054422,0.151914,3.798405,0.102041,0.153558
M1/N7/E10b/T12e_train00,13,3.465361,3.796162,0.090909,0.153898,3.805254,0.054422,0.152524,3.793845,0.102041,0.154258
M1/N7/E10b/T12e_train00,14,3.443347,3.791012,0.090909,0.15469,3.801086,0.054422,0.153162,3.78915,0.102041,0.154983
M1/N7/E10b/T12e_train00,15,3.404937,3.785608,0.090909,0.155524,3.796606,0.054422,0.15385,3.784231,0.102041,0.155745
M1/N7/E10b/T12e_train00,16,3.370124,3.780084,0.090909,0.156381,3.791993,0.054422,0.154561,3.779202,0.102041,0.156527
M1/N7/E10b/T12e_train00,17,3.364625,3.774843,0.090909,0.157194,3.787561,0.054422,0.155243,3.774458,0.102041,0.157264
M1/N7/E10b/T12e_train00,18,3.401174,3.770066,0.090909,0.157934,3.783472,0.054422,0.155871,3.77017,0.102041,0.157928
M1/N7/E10b/T12e_train00,19,3.352683,3.765633,0.090909,0.158618,3.77966,0.054422,0.156452,3.766251,0.102041,0.158531
M1/N7/E10b/T12e_train00,20,3.391304,3.761661,0.090909,0.159227,3.776214,0.054422,0.156973,3.762783,0.102041,0.15906
M1/N7/E10b/T12e_train00,21,3.334282,3.757842,0.089054,0.159808,3.772964,0.047619,0.157459,3.759487,0.081633,0.159559
M1/N7/E10b/T12e_train00,22,3.338485,3.754338,0.089054,0.160336,3.769975,0.047619,0.157902,3.756487,0.081633,0.160009
M1/N7/E10b/T12e_train00,23,3.387892,3.751106,0.089054,0.160819,3.767236,0.047619,0.158302,3.753748,0.081633,0.160414
M1/N7/E10b/T12e_train00,24,3.360601,3.748023,0.089054,0.161276,3.764666,0.047619,0.158674,3.751152,0.081633,0.160795
M1/N7/E10b/T12e_train00,25,3.353505,3.745193,0.089054,0.161692,3.76235,0.047619,0.159006,3.748798,0.081633,0.161137
M1/N7/E10b/T12e_train00,26,3.367303,3.742752,0.089054,0.162047,3.760299,0.047619,0.159297,3.746773,0.081633,0.161428
M1/N7/E10b/T12e_train00,27,3.315097,3.74024,0.089054,0.162415,3.75817,0.047619,0.159601,3.744655,0.081633,0.161735
M1/N7/E10b/T12e_train00,28,3.303055,3.737456,0.089054,0.162828,3.755881,0.047619,0.159932,3.742268,0.081633,0.162087
M1/N7/E10b/T12e_train00,29,3.330312,3.734379,0.089054,0.16329,3.753418,0.047619,0.160293,3.739631,0.081633,0.162481
M1/N7/E10b/T12e_train00,30,3.32933,3.731068,0.089054,0.163792,3.750827,0.047619,0.160677,3.736779,0.081633,0.162912
M1/N7/E10b/T12e_train00,31,3.34244,3.727336,0.089054,0.164364,3.747901,0.047619,0.161116,3.733477,0.081633,0.163419
M1/N7/E10b/T12e_train00,32,3.306835,3.723018,0.089054,0.165033,3.744511,0.047619,0.161631,3.729615,0.081633,0.164019
M1/N7/E10b/T12e_train00,33,3.336452,3.717939,0.089054,0.16583,3.740516,0.047619,0.162245,3.725034,0.081633,0.16474
M1/N7/E10b/T12e_train00,34,3.32469,3.712073,0.157699,0.166758,3.73591,0.156463,0.162959,3.719725,0.142857,0.165584
M1/N7/E10b/T12e_train00,35,3.317463,3.705605,0.157699,0.167786,3.73085,0.156463,0.163747,3.713853,0.142857,0.166524
M1/N7/E10b/T12e_train00,36,3.298608,3.69844,0.157699,0.168938,3.725275,0.156463,0.164625,3.707282,0.142857,0.167587
M1/N7/E10b/T12e_train00,37,3.296761,3.690778,0.157699,0.170179,3.719264,0.156463,0.165579,3.700236,0.142857,0.168737
M1/N7/E10b/T12e_train00,38,3.331821,3.682763,0.159555,0.171489,3.713029,0.163265,0.166578,3.692849,0.163265,0.169955
M1/N7/E10b/T12e_train00,39,3.302751,3.674048,0.159555,0.172925,3.706291,0.163265,0.167666,3.684804,0.163265,0.171293
M1/N7/E10b/T12e_train00,40,3.286931,3.664339,0.159555,0.174535,3.698786,0.14966,0.168885,3.675884,0.159864,0.172786
M1/N7/E10b/T12e_train00,41,3.290796,3.653962,0.159555,0.176268,3.690768,0.14966,0.170198,3.666359,0.159864,0.174396
M1/N7/E10b/T12e_train00,42,3.295918,3.643438,0.159555,0.178041,3.682662,0.14966,0.171534,3.656718,0.159864,0.176041
M1/N7/E10b/T12e_train00,43,3.305873,3.632709,0.159555,0.179858,3.674404,0.14966,0.172902,3.646959,0.159864,0.177716
M1/N7/E10b/T12e_train00,44,3.300186,3.62167,0.159555,0.181734,3.665844,0.14966,0.174326,3.636978,0.159864,0.179436
M1/N7/E10b/T12e_train00,45,3.292916,3.609963,0.159555,0.183726,3.656834,0.14966,0.175822,3.626384,0.159864,0.181264
M1/N7/E10b/T12e_train00,46,3.264092,3.597813,0.159555,0.185803,3.647651,0.14966,0.177348,3.615441,0.159864,0.183166
M1/N7/E10b/T12e_train00,47,3.283227,3.58589,0.159555,0.18784,3.638769,0.14966,0.178816,3.604763,0.159864,0.185024
M1/N7/E10b/T12e_train00,48,3.293497,3.573819,0.159555,0.189899,3.629917,0.14966,0.180275,3.594065,0.159864,0.186886
M1/N7/E10b/T12e_train00,49,3.295881,3.561591,0.159555,0.191982,3.621025,0.14966,0.181737,3.583245,0.159864,0.188771
M1/N7/E10b/T12e_train00,50,3.321862,3.547995,0.159555,0.194301,3.611146,0.163265,0.183364,3.571225,0.163265,0.190872
M1/N7/E10b/T12e_train00,51,3.275745,3.534785,0.159555,0.196533,3.601712,0.163265,0.184894,3.559577,0.163265,0.192891
M1/N7/E10b/T12e_train00,52,3.28083,3.521612,0.159555,0.198746,3.592578,0.163265,0.186357,3.548062,0.163265,0.194885
M1/N7/E10b/T12e_train00,53,3.264777,3.507632,0.159555,0.201094,3.582974,0.163265,0.187891,3.535844,0.163265,0.197007
M1/N7/E10b/T12e_train00,54,3.287157,3.492135,0.159555,0.203672,3.572362,0.163265,0.189577,3.52249,0.163265,0.199304
M1/N7/E10b/T12e_train00,55,3.29398,3.477215,0.159555,0.206132,3.562189,0.163265,0.191175,3.509735,0.163265,0.201485
M1/N7/E10b/T12e_train00,56,3.2605,3.461147,0.159555,0.208756,3.5513,0.163265,0.192877,3.496058,0.163265,0.203811
M1/N7/E10b/T12e_train00,57,3.291665,3.445668,0.159555,0.211263,3.54089,0.163265,0.194503,3.48302,0.163265,0.206021
M1/N7/E10b/T12e_train00,58,3.277596,3.429762,0.159555,0.21385,3.530071,0.163265,0.196215,3.4697,0.163265,0.2083
M1/N7/E10b/T12e_train00,59,3.282484,3.41173,0.159555,0.216803,3.518095,0.163265,0.198139,3.45458,0.163265,0.210924
M1/N7/E10b/T12e_train00,60,3.262465,3.392346,0.159555,0.219929,3.505756,0.163265,0.200104,3.438483,0.163265,0.213704
M1/N7/E10b/T12e_train00,61,3.321149,3.372837,0.159555,0.223033,3.49385,0.14966,0.202008,3.422478,0.159864,0.216459
M1/N7/E10b/T12e_train00,62,3.290816,3.353335,0.159555,0.226078,3.483047,0.14966,0.203739,3.406966,0.159864,0.219137
M1/N7/E10b/T12e_train00,63,3.289127,3.331261,0.159555,0.229479,3.471555,0.14966,0.205624,3.389563,0.159864,0.222177
M1/N7/E10b/T12e_train00,64,3.266487,3.309601,0.159555,0.232855,3.460703,0.14966,0.207563,3.372763,0.159864,0.22523
