experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12a_train02,1,3.828453,3.824789,0.139706,0.14964,3.833084,0.114094,0.148393,3.822465,0.151515,0.149995
M1/N7/E11a/T12a_train02,2,3.770476,3.819755,0.191176,0.150401,3.829012,0.167785,0.149001,3.818077,0.185185,0.150656
M1/N7/E11a/T12a_train02,3,3.649851,3.810441,0.183824,0.151839,3.820929,0.174497,0.150238,3.809227,0.191919,0.152022
M1/N7/E11a/T12a_train02,4,3.560976,3.796924,0.183824,0.153966,3.808866,0.174497,0.152118,3.795926,0.191919,0.154115
M1/N7/E11a/T12a_train02,5,3.463465,3.78023,0.183824,0.156649,3.793714,0.174497,0.154525,3.779313,0.191919,0.156781
M1/N7/E11a/T12a_train02,6,3.377681,3.759744,0.183824,0.160027,3.775236,0.174497,0.157531,3.758798,0.191919,0.160157
M1/N7/E11a/T12a_train02,7,3.262664,3.734433,0.183824,0.164326,3.752204,0.174497,0.161378,3.733306,0.191919,0.16448
M1/N7/E11a/T12a_train02,8,3.195276,3.705519,0.183824,0.169416,3.725796,0.174497,0.165929,3.70418,0.191919,0.169594
M1/N7/E11a/T12a_train02,9,3.100353,3.673425,0.183824,0.175278,3.696471,0.174497,0.171142,3.672039,0.191919,0.175442
M1/N7/E11a/T12a_train02,10,3.030576,3.639199,0.183824,0.18176,3.66521,0.174497,0.176859,3.638041,0.191919,0.181848
M1/N7/E11a/T12a_train02,11,2.955423,3.602891,0.183824,0.188889,3.632329,0.174497,0.183047,3.602299,0.191919,0.188817
M1/N7/E11a/T12a_train02,12,2.866737,3.566596,0.183824,0.196267,3.599616,0.174497,0.189365,3.566928,0.191919,0.195935
M1/N7/E11a/T12a_train02,13,2.812401,3.530251,0.183824,0.2039,3.567079,0.174497,0.195799,3.532066,0.191919,0.203149
M1/N7/E11a/T12a_train02,14,2.76736,3.495656,0.183824,0.211316,3.536551,0.174497,0.201888,3.499712,0.191919,0.209943
M1/N7/E11a/T12a_train02,15,2.694879,3.463655,0.183824,0.218237,3.508975,0.174497,0.207351,3.470596,0.191919,0.216058
M1/N7/E11a/T12a_train02,16,2.625826,3.434833,0.183824,0.224518,3.484814,0.174497,0.212093,3.445448,0.195286,0.221327
M1/N7/E11a/T12a_train02,17,2.586121,3.40903,0.198529,0.230122,3.46389,0.181208,0.216105,3.42405,0.208754,0.225714
M1/N7/E11a/T12a_train02,18,2.533576,3.385658,0.25,0.235217,3.445654,0.187919,0.219563,3.405729,0.239057,0.229411
M1/N7/E11a/T12a_train02,19,2.510258,3.36516,0.272059,0.239735,3.430595,0.214765,0.222424,3.390914,0.259259,0.23237
M1/N7/E11a/T12a_train02,20,2.435093,3.345406,0.306985,0.244221,3.416669,0.221477,0.225161,3.377497,0.279461,0.235104
M1/N7/E11a/T12a_train02,21,2.414769,3.326998,0.321691,0.248485,3.404562,0.228188,0.227593,3.366134,0.296296,0.237432
M1/N7/E11a/T12a_train02,22,2.348866,3.308741,0.341912,0.252872,3.393423,0.248322,0.229945,3.355553,0.313131,0.239671
M1/N7/E11a/T12a_train02,23,2.334571,3.29247,0.345588,0.256889,3.384859,0.261745,0.231816,3.347656,0.309764,0.241355
M1/N7/E11a/T12a_train02,24,2.269275,3.275663,0.365809,0.261233,3.376681,0.268456,0.233756,3.339918,0.319865,0.243154
M1/N7/E11a/T12a_train02,25,2.257926,3.257791,0.387868,0.266072,3.368377,0.315436,0.235924,3.33195,0.3367,0.245165
M1/N7/E11a/T12a_train02,26,2.189196,3.238276,0.420956,0.271433,3.359023,0.33557,0.238401,3.323011,0.356902,0.247467
M1/N7/E11a/T12a_train02,27,2.164298,3.216014,0.454044,0.277821,3.348581,0.348993,0.241344,3.312666,0.363636,0.250356
M1/N7/E11a/T12a_train02,28,2.131353,3.191382,0.492647,0.284953,3.336707,0.38255,0.244671,3.300627,0.377104,0.25372
M1/N7/E11a/T12a_train02,29,2.041817,3.16473,0.514706,0.292691,3.323919,0.395973,0.248219,3.287627,0.380471,0.257368
M1/N7/E11a/T12a_train02,30,2.005481,3.135748,0.522059,0.301199,3.310048,0.395973,0.252099,3.273443,0.397306,0.261407
M1/N7/E11a/T12a_train02,31,1.958916,3.102956,0.533088,0.310946,3.293469,0.416107,0.256766,3.256689,0.40404,0.266243
M1/N7/E11a/T12a_train02,32,1.96125,3.064656,0.542279,0.322527,3.273534,0.416107,0.262457,3.236078,0.410774,0.272294
M1/N7/E11a/T12a_train02,33,1.890284,3.021874,0.544118,0.335599,3.250956,0.416107,0.268953,3.212527,0.414141,0.279253
M1/N7/E11a/T12a_train02,34,1.84953,2.975081,0.556985,0.349958,3.226563,0.422819,0.275952,3.186517,0.414141,0.286954
M1/N7/E11a/T12a_train02,35,1.790993,2.922123,0.573529,0.366343,3.198572,0.416107,0.28407,3.156677,0.417508,0.295849
M1/N7/E11a/T12a_train02,36,1.818879,2.864446,0.579044,0.384244,3.167784,0.416107,0.293082,3.123986,0.424242,0.305667
M1/N7/E11a/T12a_train02,37,1.755014,2.804773,0.586397,0.402728,3.136361,0.416107,0.302328,3.090918,0.430976,0.315569
M1/N7/E11a/T12a_train02,38,1.701449,2.742104,0.602941,0.422078,3.103539,0.42953,0.312008,3.056581,0.447811,0.325825
M1/N7/E11a/T12a_train02,39,1.674061,2.674614,0.615809,0.442781,3.067073,0.42953,0.322979,3.019309,0.447811,0.336979
M1/N7/E11a/T12a_train02,40,1.671083,2.607293,0.630515,0.463038,3.030707,0.42953,0.333842,2.983208,0.447811,0.347575
M1/N7/E11a/T12a_train02,41,1.600045,2.53253,0.641544,0.485164,2.989564,0.42953,0.346168,2.942124,0.461279,0.359549
M1/N7/E11a/T12a_train02,42,1.560968,2.457175,0.648897,0.506872,2.947314,0.436242,0.358602,2.901514,0.474747,0.37109
M1/N7/E11a/T12a_train02,43,1.52024,2.379026,0.661765,0.528792,2.902915,0.442953,0.371589,2.859248,0.484848,0.382949
M1/N7/E11a/T12a_train02,44,1.510378,2.298413,0.681985,0.550831,2.857231,0.449664,0.384791,2.815871,0.488215,0.394983
M1/N7/E11a/T12a_train02,45,1.45182,2.214327,0.700368,0.572948,2.809062,0.469799,0.3984,2.770168,0.494949,0.407336
M1/N7/E11a/T12a_train02,46,1.437331,2.130457,0.715074,0.594319,2.761803,0.47651,0.411499,2.725753,0.488215,0.419089
M1/N7/E11a/T12a_train02,47,1.394284,2.047525,0.727941,0.61468,2.714798,0.496644,0.424225,2.682238,0.491582,0.430331
M1/N7/E11a/T12a_train02,48,1.332962,1.963162,0.742647,0.634771,2.667883,0.510067,0.436659,2.638451,0.488215,0.44135
M1/N7/E11a/T12a_train02,49,1.332659,1.877817,0.751838,0.654227,2.619752,0.510067,0.449086,2.59371,0.498316,0.452258
M1/N7/E11a/T12a_train02,50,1.296008,1.794631,0.764706,0.672499,2.573279,0.510067,0.460839,2.55063,0.515152,0.46242
M1/N7/E11a/T12a_train02,51,1.292575,1.710708,0.777574,0.690274,2.525858,0.510067,0.472532,2.506977,0.511785,0.472248
M1/N7/E11a/T12a_train02,52,1.249563,1.628315,0.788603,0.707273,2.47987,0.530201,0.483689,2.46481,0.525253,0.481369
M1/N7/E11a/T12a_train02,53,1.179411,1.547233,0.799632,0.723604,2.434042,0.550336,0.494733,2.422964,0.538721,0.490296
M1/N7/E11a/T12a_train02,54,1.160574,1.467476,0.816176,0.739238,2.38787,0.563758,0.505662,2.381376,0.545455,0.498821
M1/N7/E11a/T12a_train02,55,1.154458,1.389927,0.823529,0.754205,2.341399,0.590604,0.516371,2.339624,0.555556,0.507227
M1/N7/E11a/T12a_train02,56,1.114367,1.313637,0.832721,0.7687,2.294175,0.583893,0.527076,2.297612,0.555556,0.515557
M1/N7/E11a/T12a_train02,57,1.083683,1.240363,0.836397,0.782657,2.248313,0.597315,0.537251,2.256779,0.555556,0.523509
M1/N7/E11a/T12a_train02,58,1.048386,1.170709,0.841912,0.796032,2.204403,0.610738,0.546817,2.218373,0.558923,0.530894
M1/N7/E11a/T12a_train02,59,1.021782,1.103697,0.845588,0.808901,2.161871,0.604027,0.55589,2.18125,0.555556,0.537948
M1/N7/E11a/T12a_train02,60,0.950552,1.040302,0.852941,0.821111,2.122078,0.604027,0.564413,2.147352,0.552189,0.544305
M1/N7/E11a/T12a_train02,61,0.973627,0.979966,0.862132,0.832621,2.084919,0.610738,0.572282,2.115916,0.552189,0.550233
M1/N7/E11a/T12a_train02,62,0.954111,0.921907,0.869485,0.843347,2.048344,0.610738,0.579829,2.085963,0.555556,0.555666
M1/N7/E11a/T12a_train02,63,0.920925,0.866391,0.876838,0.853352,2.012751,0.61745,0.586883,2.058151,0.555556,0.560581
M1/N7/E11a/T12a_train02,64,0.891694,0.813954,0.882353,0.862471,1.977033,0.624161,0.594171,2.032109,0.565657,0.565147
M1/N7/E11a/T12a_train02,65,0.875003,0.764931,0.884191,0.870696,1.944801,0.630872,0.600825,2.008857,0.569024,0.569335
M1/N7/E11a/T12a_train02,66,0.872906,0.719632,0.886029,0.878155,1.915397,0.637584,0.606988,1.989031,0.56229,0.57297
M1/N7/E11a/T12a_train02,67,0.78853,0.677885,0.889706,0.884793,1.890375,0.637584,0.612158,1.973751,0.558923,0.575419
M1/N7/E11a/T12a_train02,68,0.799798,0.638137,0.889706,0.890797,1.867031,0.637584,0.616628,1.960582,0.558923,0.577764
M1/N7/E11a/T12a_train02,69,0.796223,0.601709,0.893382,0.89607,1.845799,0.644295,0.620582,1.949276,0.558923,0.579847
M1/N7/E11a/T12a_train02,70,0.764499,0.568089,0.898897,0.9011,1.828536,0.630872,0.623787,1.94063,0.56229,0.581801
M1/N7/E11a/T12a_train02,71,0.723339,0.537479,0.902574,0.905726,1.813724,0.630872,0.62658,1.933559,0.558923,0.583536
M1/N7/E11a/T12a_train02,72,0.71657,0.508529,0.904412,0.909981,1.80076,0.630872,0.628792,1.929478,0.558923,0.584777
M1/N7/E11a/T12a_train02,73,0.690039,0.481329,0.908088,0.914031,1.790027,0.630872,0.630382,1.927142,0.565657,0.586265
M1/N7/E11a/T12a_train02,74,0.698845,0.456106,0.909926,0.9178,1.77931,0.630872,0.632323,1.925457,0.558923,0.58786
M1/N7/E11a/T12a_train02,75,0.662648,0.433698,0.915441,0.92135,1.771817,0.630872,0.633837,1.925231,0.558923,0.589063
M1/N7/E11a/T12a_train02,76,0.638291,0.413343,0.917279,0.924482,1.768198,0.630872,0.634703,1.926151,0.565657,0.590027
M1/N7/E11a/T12a_train02,77,0.617746,0.394421,0.920956,0.927585,1.766141,0.624161,0.635261,1.928057,0.569024,0.590767
M1/N7/E11a/T12a_train02,78,0.625716,0.377007,0.920956,0.930524,1.763301,0.624161,0.63643,1.929335,0.569024,0.591425
M1/N7/E11a/T12a_train02,79,0.630238,0.360873,0.926471,0.93337,1.760319,0.624161,0.637975,1.930334,0.565657,0.591797
M1/N7/E11a/T12a_train02,80,0.581846,0.345546,0.935662,0.936128,1.756966,0.624161,0.639517,1.931356,0.572391,0.592825
M1/N7/E11a/T12a_train02,81,0.559443,0.330996,0.941176,0.938597,1.753164,0.624161,0.641185,1.933025,0.569024,0.593725
M1/N7/E11a/T12a_train02,82,0.528228,0.317671,0.941176,0.940927,1.750526,0.630872,0.642773,1.934578,0.572391,0.594448
M1/N7/E11a/T12a_train02,83,0.586119,0.305111,0.941176,0.943116,1.746964,0.624161,0.645105,1.935879,0.572391,0.594977
M1/N7/E11a/T12a_train02,84,0.498983,0.293939,0.943015,0.945151,1.744027,0.624161,0.647373,1.937762,0.569024,0.594909
M1/N7/E11a/T12a_train02,85,0.494865,0.283617,0.943015,0.947099,1.740919,0.630872,0.649592,1.940905,0.572391,0.594837
