experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11b/T12a_train01,1,3.914762,3.839417,0.062731,0.147464,3.830497,0.127517,0.148835,3.82915,0.111111,0.148998
M1/N7/E11b/T12a_train01,2,3.808889,3.834111,0.060886,0.148265,3.824395,0.134228,0.14978,3.822512,0.111111,0.15001
M1/N7/E11b/T12a_train01,3,3.737653,3.826385,0.060886,0.149444,3.815185,0.134228,0.151212,3.812791,0.111111,0.151509
M1/N7/E11b/T12a_train01,4,3.657795,3.816066,0.060886,0.151027,3.80361,0.134228,0.153037,3.800227,0.111111,0.153465
M1/N7/E11b/T12a_train01,5,3.587658,3.803067,0.060886,0.153051,3.789396,0.134228,0.155303,3.784826,0.111111,0.155904
M1/N7/E11b/T12a_train01,6,3.533107,3.787384,0.060886,0.155549,3.771966,0.134228,0.158144,3.765812,0.111111,0.158985
M1/N7/E11b/T12a_train01,7,3.448212,3.76878,0.060886,0.158553,3.752151,0.134228,0.161416,3.744041,0.111111,0.162566
M1/N7/E11b/T12a_train01,8,3.378895,3.746726,0.129151,0.162223,3.728019,0.214765,0.165519,3.71793,0.175084,0.167005
M1/N7/E11b/T12a_train01,9,3.277751,3.721256,0.206642,0.166537,3.700441,0.255034,0.170289,3.688017,0.259259,0.17219
M1/N7/E11b/T12a_train01,10,3.228175,3.688967,0.162362,0.172257,3.666899,0.161074,0.176339,3.650811,0.198653,0.178951
M1/N7/E11b/T12a_train01,11,3.142796,3.659064,0.162362,0.177683,3.63584,0.161074,0.182062,3.616615,0.198653,0.185321
M1/N7/E11b/T12a_train01,12,3.063392,3.626374,0.162362,0.18376,3.601601,0.161074,0.188546,3.579119,0.198653,0.192472
M1/N7/E11b/T12a_train01,13,3.036753,3.59732,0.162362,0.189276,3.57081,0.161074,0.194436,3.546302,0.198653,0.198842
M1/N7/E11b/T12a_train01,14,2.951047,3.56675,0.162362,0.19512,3.539076,0.161074,0.200514,3.512816,0.198653,0.205397
M1/N7/E11b/T12a_train01,15,2.902843,3.537538,0.162362,0.200731,3.509387,0.161074,0.206185,3.481108,0.198653,0.211552
M1/N7/E11b/T12a_train01,16,2.85628,3.512942,0.166052,0.20534,3.485351,0.161074,0.210608,3.45613,0.20202,0.216205
M1/N7/E11b/T12a_train01,17,2.79209,3.492074,0.191882,0.209065,3.465166,0.208054,0.21407,3.435904,0.23569,0.219635
