experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E10b/T12b_train02,1,3.922334,3.849486,0.009225,0.145919,3.843802,0.006757,0.146735,3.846251,0.013468,0.146405
M1/N9/E10b/T12b_train02,2,3.813973,3.844232,0.00738,0.146694,3.838416,0.006757,0.147535,3.841835,0.016835,0.147053
M1/N9/E10b/T12b_train02,3,3.750294,3.836183,0.01845,0.1479,3.829784,0.02027,0.148836,3.834694,0.040404,0.14812
M1/N9/E10b/T12b_train02,4,3.656087,3.825219,0.188192,0.149574,3.817782,0.222973,0.15068,3.824787,0.175084,0.149631
M1/N9/E10b/T12b_train02,5,3.567365,3.811064,0.180812,0.151782,3.802274,0.22973,0.153118,3.811864,0.171717,0.151644
M1/N9/E10b/T12b_train02,6,3.49491,3.79332,0.180812,0.154621,3.78312,0.22973,0.156221,3.79584,0.171717,0.154204
M1/N9/E10b/T12b_train02,7,3.421947,3.771809,0.180812,0.158176,3.759916,0.22973,0.160117,3.776491,0.171717,0.157396
M1/N9/E10b/T12b_train02,8,3.321792,3.746744,0.180812,0.16246,3.733189,0.22973,0.164785,3.754037,0.171717,0.161229
M1/N9/E10b/T12b_train02,9,3.228225,3.717497,0.180812,0.167662,3.702102,0.22973,0.170462,3.727836,0.171717,0.165882
M1/N9/E10b/T12b_train02,10,3.112696,3.684388,0.180812,0.173812,3.667153,0.22973,0.177164,3.69834,0.171717,0.17135
M1/N9/E10b/T12b_train02,11,3.063621,3.648416,0.180812,0.180796,3.629475,0.22973,0.184752,3.66654,0.171717,0.177508
M1/N9/E10b/T12b_train02,12,2.954722,3.609268,0.180812,0.18875,3.588745,0.22973,0.193388,3.632257,0.171717,0.184458
M1/N9/E10b/T12b_train02,13,2.931892,3.568521,0.180812,0.197386,3.546857,0.22973,0.202704,3.597233,0.171717,0.19187
M1/N9/E10b/T12b_train02,14,2.848512,3.52561,0.180812,0.206842,3.503264,0.22973,0.212842,3.560744,0.171717,0.199889
M1/N9/E10b/T12b_train02,15,2.756588,3.483057,0.180812,0.216435,3.461166,0.22973,0.222896,3.525296,0.171717,0.207857
M1/N9/E10b/T12b_train02,16,2.717578,3.439495,0.180812,0.226458,3.418709,0.22973,0.233267,3.489653,0.171717,0.216021
M1/N9/E10b/T12b_train02,17,2.678401,3.398016,0.180812,0.236021,3.379526,0.22973,0.242822,3.456516,0.171717,0.223609
M1/N9/E10b/T12b_train02,18,2.596029,3.358309,0.180812,0.245188,3.342894,0.22973,0.251722,3.42569,0.171717,0.230676
M1/N9/E10b/T12b_train02,19,2.58148,3.320122,0.180812,0.253964,3.309044,0.22973,0.259833,3.39695,0.171717,0.23722
M1/N9/E10b/T12b_train02,20,2.481283,3.284032,0.180812,0.262185,3.27848,0.22973,0.266945,3.370828,0.171717,0.243103
M1/N9/E10b/T12b_train02,21,2.47331,3.250515,0.182657,0.269807,3.251943,0.22973,0.272931,3.347681,0.171717,0.248262
M1/N9/E10b/T12b_train02,22,2.434961,3.218018,0.190037,0.277402,3.227085,0.22973,0.278612,3.326104,0.171717,0.253192
M1/N9/E10b/T12b_train02,23,2.350053,3.186587,0.201107,0.284931,3.204427,0.22973,0.283793,3.306203,0.175084,0.257819
M1/N9/E10b/T12b_train02,24,2.281525,3.154849,0.241697,0.292852,3.182108,0.25,0.28911,3.286998,0.198653,0.262485
M1/N9/E10b/T12b_train02,25,2.28126,3.123866,0.265683,0.300917,3.161442,0.27027,0.294214,3.269076,0.215488,0.267033
M1/N9/E10b/T12b_train02,26,2.242306,3.092149,0.291513,0.309572,3.140962,0.290541,0.299529,3.25149,0.259259,0.271752
M1/N9/E10b/T12b_train02,27,2.167759,3.058831,0.322878,0.318951,3.119993,0.317568,0.305191,3.233149,0.279461,0.276874
M1/N9/E10b/T12b_train02,28,2.084625,3.023047,0.343173,0.329301,3.097613,0.351351,0.311473,3.213575,0.306397,0.28254
M1/N9/E10b/T12b_train02,29,2.062143,2.987438,0.372694,0.339759,3.076435,0.351351,0.317428,3.194853,0.309764,0.288067
M1/N9/E10b/T12b_train02,30,2.011574,2.950334,0.385609,0.350823,3.054497,0.358108,0.323755,3.175594,0.316498,0.293903
M1/N9/E10b/T12b_train02,31,1.986445,2.910408,0.404059,0.362695,3.030697,0.371622,0.330661,3.154782,0.319865,0.300211
M1/N9/E10b/T12b_train02,32,1.974873,2.868628,0.424354,0.375217,3.006509,0.385135,0.337695,3.133229,0.333333,0.30678
M1/N9/E10b/T12b_train02,33,1.914361,2.823612,0.435424,0.388515,2.98045,0.385135,0.345162,3.109873,0.346801,0.313774
M1/N9/E10b/T12b_train02,34,1.849582,2.775486,0.457565,0.402751,2.953068,0.385135,0.353004,3.085029,0.346801,0.321213
M1/N9/E10b/T12b_train02,35,1.850241,2.725724,0.487085,0.417512,2.925352,0.385135,0.360957,3.059413,0.360269,0.328886
M1/N9/E10b/T12b_train02,36,1.73793,2.672378,0.509225,0.433014,2.894921,0.385135,0.369564,3.031618,0.360269,0.337052
M1/N9/E10b/T12b_train02,37,1.727948,2.615887,0.527675,0.449283,2.863226,0.385135,0.378411,3.002588,0.367003,0.345529
M1/N9/E10b/T12b_train02,38,1.70829,2.557303,0.546125,0.466007,2.830975,0.391892,0.387421,2.973093,0.373737,0.354077
M1/N9/E10b/T12b_train02,39,1.641817,2.495144,0.566421,0.483432,2.796806,0.412162,0.396783,2.94185,0.367003,0.362978
M1/N9/E10b/T12b_train02,40,1.612358,2.429958,0.595941,0.501588,2.761939,0.412162,0.406297,2.909509,0.390572,0.372164
M1/N9/E10b/T12b_train02,41,1.593187,2.361842,0.623616,0.520103,2.725855,0.439189,0.415816,2.876096,0.400673,0.381391
M1/N9/E10b/T12b_train02,42,1.510428,2.290481,0.653137,0.539037,2.687406,0.459459,0.425677,2.840979,0.414141,0.39083
M1/N9/E10b/T12b_train02,43,1.506637,2.218745,0.669742,0.557907,2.649894,0.459459,0.43511,2.80653,0.424242,0.399928
M1/N9/E10b/T12b_train02,44,1.468,2.144832,0.688192,0.577014,2.610586,0.47973,0.444768,2.771863,0.430976,0.408872
M1/N9/E10b/T12b_train02,45,1.43096,2.068444,0.714022,0.596525,2.570451,0.466216,0.454486,2.736354,0.441077,0.417887
M1/N9/E10b/T12b_train02,46,1.395475,1.989875,0.732472,0.616393,2.530029,0.493243,0.464057,2.700529,0.451178,0.426775
M1/N9/E10b/T12b_train02,47,1.38745,1.910694,0.750923,0.636073,2.489449,0.506757,0.473354,2.66497,0.454545,0.435442
M1/N9/E10b/T12b_train02,48,1.321314,1.828437,0.760148,0.656,2.447282,0.506757,0.482763,2.627932,0.454545,0.44426
M1/N9/E10b/T12b_train02,49,1.275787,1.746795,0.778598,0.675407,2.405195,0.513514,0.49194,2.591598,0.468013,0.452723
M1/N9/E10b/T12b_train02,50,1.272468,1.667515,0.791513,0.694016,2.365356,0.52027,0.500533,2.556423,0.474747,0.460881
M1/N9/E10b/T12b_train02,51,1.217619,1.586339,0.806273,0.712564,2.323415,0.527027,0.509371,2.519994,0.474747,0.469178
M1/N9/E10b/T12b_train02,52,1.162457,1.505552,0.824723,0.730617,2.282156,0.533784,0.518017,2.48345,0.488215,0.477501
M1/N9/E10b/T12b_train02,53,1.168526,1.428688,0.839483,0.747439,2.243781,0.533784,0.526124,2.448438,0.488215,0.485466
M1/N9/E10b/T12b_train02,54,1.088197,1.352798,0.845018,0.763554,2.205302,0.533784,0.534026,2.413192,0.505051,0.49338
M1/N9/E10b/T12b_train02,55,1.038542,1.279941,0.852399,0.778836,2.170169,0.540541,0.541286,2.380028,0.511785,0.500781
M1/N9/E10b/T12b_train02,56,1.058487,1.208695,0.861624,0.793674,2.13688,0.554054,0.548222,2.349303,0.515152,0.507688
M1/N9/E10b/T12b_train02,57,1.030125,1.139138,0.859779,0.807693,2.105252,0.567568,0.554712,2.318812,0.52862,0.514432
M1/N9/E10b/T12b_train02,58,0.985209,1.069757,0.869004,0.821204,2.074877,0.567568,0.560967,2.28904,0.521886,0.521056
M1/N9/E10b/T12b_train02,59,0.942088,1.003748,0.876384,0.83375,2.047771,0.567568,0.566673,2.261447,0.525253,0.527142
M1/N9/E10b/T12b_train02,60,0.919284,0.941437,0.881919,0.845169,2.023373,0.574324,0.572063,2.236022,0.525253,0.532815
M1/N9/E10b/T12b_train02,61,0.909036,0.881861,0.883764,0.855608,2.000124,0.567568,0.576954,2.211883,0.525253,0.538149
M1/N9/E10b/T12b_train02,62,0.900657,0.825099,0.885609,0.86513,1.977873,0.587838,0.58192,2.189478,0.525253,0.543367
M1/N9/E10b/T12b_train02,63,0.893723,0.773646,0.889299,0.873589,1.959963,0.587838,0.586154,2.170607,0.521886,0.547954
M1/N9/E10b/T12b_train02,64,0.84084,0.724814,0.889299,0.881182,1.942976,0.581081,0.590102,2.152753,0.52862,0.55225
M1/N9/E10b/T12b_train02,65,0.794384,0.679844,0.889299,0.888008,1.927629,0.581081,0.593793,2.137145,0.531987,0.556042
M1/N9/E10b/T12b_train02,66,0.80093,0.638975,0.894834,0.894068,1.915149,0.581081,0.597204,2.124214,0.535354,0.559373
M1/N9/E10b/T12b_train02,67,0.766053,0.602289,0.900369,0.899397,1.903947,0.581081,0.600331,2.113346,0.545455,0.562614
M1/N9/E10b/T12b_train02,68,0.765587,0.568213,0.905904,0.904184,1.891358,0.581081,0.603357,2.103576,0.542088,0.56552
M1/N9/E10b/T12b_train02,69,0.736361,0.537068,0.905904,0.908484,1.880755,0.581081,0.606115,2.096444,0.552189,0.56815
M1/N9/E10b/T12b_train02,70,0.741557,0.509333,0.913284,0.912261,1.871483,0.587838,0.608424,2.090568,0.555556,0.570263
M1/N9/E10b/T12b_train02,71,0.687013,0.482943,0.918819,0.915847,1.861498,0.587838,0.611011,2.08613,0.56229,0.572042
M1/N9/E10b/T12b_train02,72,0.647606,0.459166,0.920664,0.919093,1.853132,0.587838,0.613177,2.08428,0.555556,0.573229
M1/N9/E10b/T12b_train02,73,0.648392,0.437184,0.924354,0.921998,1.846776,0.581081,0.614962,2.084059,0.552189,0.574291
M1/N9/E10b/T12b_train02,74,0.64921,0.41728,0.922509,0.924576,1.842571,0.587838,0.61603,2.084733,0.552189,0.575143
M1/N9/E10b/T12b_train02,75,0.601729,0.3993,0.924354,0.927004,1.841706,0.587838,0.616394,2.086712,0.555556,0.575635
M1/N9/E10b/T12b_train02,76,0.595933,0.382811,0.926199,0.929324,1.843315,0.581081,0.616524,2.089329,0.552189,0.575903
M1/N9/E10b/T12b_train02,77,0.604806,0.367615,0.926199,0.931503,1.845397,0.587838,0.616778,2.091957,0.552189,0.57628
M1/N9/E10b/T12b_train02,78,0.567282,0.353463,0.928044,0.933615,1.849325,0.587838,0.616895,2.096318,0.548822,0.576326
M1/N9/E10b/T12b_train02,79,0.570871,0.339836,0.929889,0.935696,1.855475,0.587838,0.616838,2.101068,0.548822,0.576276
M1/N9/E10b/T12b_train02,80,0.534569,0.327303,0.933579,0.937685,1.860489,0.581081,0.6171,2.106032,0.545455,0.576223
M1/N9/E10b/T12b_train02,81,0.532616,0.315888,0.933579,0.939465,1.863508,0.581081,0.617674,2.107623,0.548822,0.576963
M1/N9/E10b/T12b_train02,82,0.500026,0.305146,0.935424,0.941142,1.868548,0.581081,0.617764,2.11065,0.545455,0.5774
M1/N9/E10b/T12b_train02,83,0.508129,0.295178,0.937269,0.94278,1.874061,0.587838,0.617566,2.112422,0.552189,0.578398
M1/N9/E10b/T12b_train02,84,0.497115,0.285814,0.937269,0.944398,1.879103,0.587838,0.617374,2.11376,0.552189,0.579452
M1/N9/E10b/T12b_train02,85,0.506307,0.277006,0.937269,0.945945,1.883597,0.594595,0.617399,2.113172,0.558923,0.580981
M1/N9/E10b/T12b_train02,86,0.481605,0.268845,0.942804,0.94742,1.884287,0.601351,0.617847,2.113024,0.56229,0.582682
M1/N9/E10b/T12b_train02,87,0.465538,0.261316,0.944649,0.948746,1.886481,0.587838,0.617725,2.112741,0.558923,0.584547
M1/N9/E10b/T12b_train02,88,0.463057,0.254202,0.946494,0.950042,1.886488,0.587838,0.618218,2.111894,0.565657,0.586215
M1/N9/E10b/T12b_train02,89,0.451205,0.247308,0.948339,0.951203,1.888078,0.587838,0.618341,2.111121,0.56229,0.587525
M1/N9/E10b/T12b_train02,90,0.452726,0.240768,0.946494,0.952239,1.889225,0.581081,0.618443,2.109137,0.56229,0.589285
M1/N9/E10b/T12b_train02,91,0.411548,0.234556,0.946494,0.953198,1.893173,0.587838,0.6182,2.107969,0.565657,0.590627
M1/N9/E10b/T12b_train02,92,0.422101,0.228303,0.946494,0.954117,1.897423,0.587838,0.617792,2.108152,0.56229,0.591831
M1/N9/E10b/T12b_train02,93,0.421137,0.222246,0.946494,0.955011,1.904005,0.587838,0.616954,2.110457,0.555556,0.5922
M1/N9/E10b/T12b_train02,94,0.394841,0.216584,0.946494,0.955862,1.909429,0.587838,0.616103,2.112208,0.552189,0.592653
M1/N9/E10b/T12b_train02,95,0.423416,0.211157,0.948339,0.956665,1.916522,0.587838,0.615379,2.114369,0.555556,0.592643
M1/N9/E10b/T12b_train02,96,0.370718,0.206114,0.950185,0.957386,1.92419,0.587838,0.614673,2.117191,0.558923,0.592282
M1/N9/E10b/T12b_train02,97,0.393642,0.201339,0.95203,0.958084,1.931421,0.587838,0.613837,2.121466,0.558923,0.591726
M1/N9/E10b/T12b_train02,98,0.364732,0.196955,0.953875,0.95876,1.933654,0.587838,0.613589,2.124053,0.555556,0.591359
