experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12b_train02,1,2.949509,2.882412,0.074545,0.237478,2.891549,0.06,0.235335,2.884311,0.073333,0.237037
M1/N7/E10b/T12b_train02,2,2.821434,2.87335,0.076364,0.239627,2.883818,0.053333,0.237148,2.875421,0.07,0.239145
M1/N7/E10b/T12b_train02,3,2.679424,2.860712,0.076364,0.24267,2.873361,0.053333,0.239642,2.863234,0.07,0.24208
M1/N7/E10b/T12b_train02,4,2.590721,2.84458,0.183636,0.246616,2.860029,0.106667,0.242879,2.847723,0.173333,0.245875
M1/N7/E10b/T12b_train02,5,2.499115,2.824388,0.234545,0.251657,2.84348,0.16,0.246986,2.828474,0.233333,0.250688
M1/N7/E10b/T12b_train02,6,2.414232,2.799968,0.234545,0.2579,2.823483,0.16,0.252081,2.805236,0.233333,0.256641
M1/N7/E10b/T12b_train02,7,2.309527,2.771835,0.234545,0.265276,2.800313,0.16,0.258152,2.778413,0.233333,0.263695
M1/N7/E10b/T12b_train02,8,2.213218,2.740774,0.238182,0.273638,2.774985,0.16,0.264988,2.748979,0.233333,0.27165
M1/N7/E10b/T12b_train02,9,2.127112,2.707364,0.24,0.282862,2.74797,0.16,0.272505,2.71744,0.233333,0.280393
M1/N7/E10b/T12b_train02,10,2.086749,2.671626,0.265455,0.292982,2.719335,0.173333,0.28073,2.683872,0.246667,0.289932
M1/N7/E10b/T12b_train02,11,1.996108,2.634353,0.369091,0.303791,2.689857,0.26,0.289461,2.649197,0.313333,0.300017
M1/N7/E10b/T12b_train02,12,1.93201,2.597066,0.46,0.314854,2.660789,0.353333,0.29834,2.615012,0.44,0.310174
M1/N7/E10b/T12b_train02,13,1.903548,2.560141,0.518182,0.326095,2.632266,0.42,0.307355,2.581748,0.49,0.32029
M1/N7/E10b/T12b_train02,14,1.828747,2.524608,0.538182,0.337266,2.605081,0.486667,0.316306,2.550406,0.526667,0.330091
M1/N7/E10b/T12b_train02,15,1.741695,2.490247,0.545455,0.348513,2.579158,0.5,0.325262,2.520802,0.53,0.339719
M1/N7/E10b/T12b_train02,16,1.693861,2.456409,0.529091,0.360077,2.554149,0.513333,0.334304,2.492353,0.53,0.34936
M1/N7/E10b/T12b_train02,17,1.680213,2.422911,0.523636,0.372027,2.530038,0.5,0.343404,2.464933,0.513333,0.359049
M1/N7/E10b/T12b_train02,18,1.626177,2.391427,0.514545,0.383737,2.507567,0.5,0.352232,2.43985,0.51,0.368321
M1/N7/E10b/T12b_train02,19,1.586534,2.360582,0.509091,0.395534,2.485908,0.493333,0.360967,2.415877,0.506667,0.377482
