experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train02,1,2.920548,2.916298,0.016364,0.229574,2.913603,0.02,0.230155,2.916745,0.02,0.229497
M1/N7/E10b/T12e_train02,2,2.916849,2.912088,0.016364,0.230547,2.909748,0.02,0.231053,2.912567,0.02,0.230461
M1/N7/E10b/T12e_train02,3,2.910475,2.907889,0.016364,0.23152,2.905927,0.02,0.231948,2.908427,0.02,0.23142
M1/N7/E10b/T12e_train02,4,2.89788,2.903703,0.016364,0.232494,2.902189,0.02,0.232826,2.904325,0.02,0.232374
M1/N7/E10b/T12e_train02,5,2.881041,2.899734,0.056364,0.233422,2.898706,0.02,0.233649,2.900456,0.07,0.233278
M1/N7/E10b/T12e_train02,6,2.857192,2.895746,0.056364,0.234359,2.895227,0.02,0.234474,2.896565,0.07,0.234192
M1/N7/E10b/T12e_train02,7,2.819301,2.891814,0.056364,0.235286,2.891821,0.02,0.235285,2.892736,0.07,0.235095
M1/N7/E10b/T12e_train02,8,2.784552,2.887916,0.056364,0.23621,2.888453,0.02,0.23609,2.888941,0.07,0.235994
M1/N7/E10b/T12e_train02,9,2.738868,2.883982,0.056364,0.237145,2.885082,0.02,0.2369,2.885119,0.07,0.236902
M1/N7/E10b/T12e_train02,10,2.683043,2.879953,0.056364,0.238107,2.881629,0.02,0.237732,2.881188,0.07,0.237842
M1/N7/E10b/T12e_train02,11,2.625306,2.875766,0.056364,0.239111,2.878081,0.02,0.23859,2.8771,0.07,0.238822
M1/N7/E10b/T12e_train02,12,2.576046,2.871326,0.056364,0.240182,2.874338,0.02,0.239501,2.87276,0.07,0.239869
M1/N7/E10b/T12e_train02,13,2.531527,2.866659,0.169091,0.241312,2.870453,0.16,0.24045,2.868189,0.15,0.240977
M1/N7/E10b/T12e_train02,14,2.486076,2.861712,0.169091,0.242516,2.866359,0.16,0.241455,2.863331,0.15,0.242161
M1/N7/E10b/T12e_train02,15,2.465843,2.856424,0.169091,0.243809,2.862067,0.16,0.242513,2.858135,0.15,0.243433
M1/N7/E10b/T12e_train02,16,2.478719,2.851318,0.169091,0.245063,2.857979,0.16,0.243523,2.853137,0.15,0.244661
M1/N7/E10b/T12e_train02,17,2.441915,2.846222,0.169091,0.246317,2.853932,0.16,0.244526,2.848159,0.15,0.24589
M1/N7/E10b/T12e_train02,18,2.445504,2.841435,0.169091,0.247499,2.850241,0.16,0.245441,2.843495,0.15,0.247045
M1/N7/E10b/T12e_train02,19,2.495934,2.837027,0.169091,0.248587,2.846907,0.16,0.246265,2.839178,0.15,0.248114
M1/N7/E10b/T12e_train02,20,2.469613,2.833266,0.169091,0.249514,2.844156,0.16,0.246943,2.835534,0.15,0.249016
M1/N7/E10b/T12e_train02,21,2.469458,2.830078,0.169091,0.250296,2.841875,0.16,0.247499,2.832456,0.15,0.249775
M1/N7/E10b/T12e_train02,22,2.456041,2.827494,0.169091,0.250926,2.840091,0.16,0.24793,2.829995,0.15,0.25038
M1/N7/E10b/T12e_train02,23,2.428195,2.825319,0.169091,0.251451,2.838579,0.16,0.248291,2.827958,0.15,0.250876
M1/N7/E10b/T12e_train02,24,2.459978,2.823478,0.169091,0.251892,2.837297,0.16,0.248593,2.826259,0.15,0.251287
M1/N7/E10b/T12e_train02,25,2.455147,2.822104,0.169091,0.252213,2.836347,0.16,0.248811,2.825046,0.15,0.251574
M1/N7/E10b/T12e_train02,26,2.403667,2.820803,0.169091,0.252515,2.835428,0.16,0.24902,2.82392,0.15,0.251838
M1/N7/E10b/T12e_train02,27,2.45737,2.819592,0.169091,0.252794,2.834554,0.16,0.249218,2.822876,0.15,0.252082
M1/N7/E10b/T12e_train02,28,2.445867,2.818363,0.169091,0.253079,2.833627,0.16,0.24943,2.821832,0.15,0.252326
M1/N7/E10b/T12e_train02,29,2.430562,2.816782,0.169091,0.253454,2.832392,0.16,0.249722,2.820457,0.15,0.252655
M1/N7/E10b/T12e_train02,30,2.416665,2.814758,0.169091,0.253941,2.830808,0.16,0.250105,2.818667,0.15,0.25309
M1/N7/E10b/T12e_train02,31,2.410018,2.812249,0.169091,0.254552,2.828839,0.16,0.250588,2.816419,0.15,0.253642
M1/N7/E10b/T12e_train02,32,2.417193,2.809028,0.169091,0.255343,2.826267,0.16,0.251226,2.813506,0.15,0.254362
M1/N7/E10b/T12e_train02,33,2.419133,2.805143,0.169091,0.256303,2.823112,0.16,0.252015,2.809985,0.15,0.255239
M1/N7/E10b/T12e_train02,34,2.40099,2.800559,0.169091,0.257442,2.819405,0.16,0.252948,2.805799,0.15,0.256286
M1/N7/E10b/T12e_train02,35,2.396265,2.794855,0.169091,0.258867,2.814772,0.16,0.254122,2.800562,0.15,0.257604
M1/N7/E10b/T12e_train02,36,2.402279,2.788336,0.169091,0.260506,2.809472,0.16,0.255476,2.79456,0.15,0.259125
M1/N7/E10b/T12e_train02,37,2.419277,2.780982,0.169091,0.262366,2.803472,0.16,0.257019,2.787808,0.15,0.260846
M1/N7/E10b/T12e_train02,38,2.393621,2.772596,0.18,0.264499,2.796629,0.173333,0.25879,2.780083,0.163333,0.262827
M1/N7/E10b/T12e_train02,39,2.426156,2.763261,0.18,0.266886,2.789118,0.173333,0.260745,2.771456,0.163333,0.265054
M1/N7/E10b/T12e_train02,40,2.397275,2.753031,0.18,0.269517,2.780835,0.173333,0.262919,2.762054,0.163333,0.267497
M1/N7/E10b/T12e_train02,41,2.399734,2.741294,0.236364,0.272552,2.771419,0.193333,0.265404,2.751239,0.243333,0.270326
M1/N7/E10b/T12e_train02,42,2.423508,2.72897,0.236364,0.275756,2.761589,0.193333,0.268015,2.739919,0.243333,0.273306
M1/N7/E10b/T12e_train02,43,2.399179,2.716519,0.236364,0.279009,2.751613,0.193333,0.270685,2.728497,0.243333,0.276333
M1/N7/E10b/T12e_train02,44,2.398144,2.703464,0.236364,0.282429,2.741177,0.193333,0.273493,2.716529,0.243333,0.279519
M1/N7/E10b/T12e_train02,45,2.412696,2.690232,0.236364,0.285904,2.73064,0.193333,0.276338,2.704434,0.243333,0.282755
M1/N7/E10b/T12e_train02,46,2.393845,2.676764,0.236364,0.289444,2.719923,0.193333,0.279238,2.692162,0.243333,0.286048
M1/N7/E10b/T12e_train02,47,2.39881,2.662533,0.236364,0.293173,2.708718,0.193333,0.28227,2.67918,0.243333,0.289528
M1/N7/E10b/T12e_train02,48,2.394742,2.647764,0.236364,0.297026,2.697312,0.193333,0.285349,2.66574,0.243333,0.293128
M1/N7/E10b/T12e_train02,49,2.380763,2.633488,0.236364,0.300727,2.686383,0.193333,0.288288,2.652792,0.243333,0.296585
M1/N7/E10b/T12e_train02,50,2.415432,2.619226,0.236364,0.304403,2.675673,0.193333,0.291155,2.63982,0.243333,0.300044
M1/N7/E10b/T12e_train02,51,2.374446,2.6039,0.236364,0.308314,2.664329,0.193333,0.294178,2.625875,0.243333,0.303743
M1/N7/E10b/T12e_train02,52,2.385448,2.587848,0.236364,0.312361,2.652608,0.193333,0.297274,2.611372,0.243333,0.307569
M1/N7/E10b/T12e_train02,53,2.414518,2.570936,0.236364,0.316557,2.640432,0.193333,0.300472,2.596037,0.243333,0.31157
M1/N7/E10b/T12e_train02,54,2.419705,2.553876,0.236364,0.320716,2.628427,0.193333,0.303601,2.580566,0.243333,0.315563
M1/N7/E10b/T12e_train02,55,2.384301,2.535556,0.236364,0.325109,2.615935,0.193333,0.306816,2.56389,0.243333,0.319821
M1/N7/E10b/T12e_train02,56,2.389271,2.51655,0.236364,0.329589,2.603509,0.193333,0.309986,2.546484,0.243333,0.324227
M1/N7/E10b/T12e_train02,57,2.426441,2.49686,0.236364,0.334085,2.591066,0.193333,0.313121,2.528636,0.243333,0.328653
