experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11b/T12a_train00,1,2.970273,2.878696,0.038006,0.238362,2.875332,0.050228,0.239142,2.877507,0.028539,0.238633
M1/N8/E11b/T12a_train00,2,2.787594,2.865654,0.170093,0.241491,2.862146,0.155251,0.242303,2.863771,0.1621,0.241929
M1/N8/E11b/T12a_train00,3,2.624794,2.845727,0.409969,0.246363,2.841627,0.415525,0.247317,2.842868,0.402968,0.247042
M1/N8/E11b/T12a_train00,4,2.481899,2.818513,0.396885,0.253216,2.813795,0.39726,0.254333,2.814535,0.407534,0.254185
M1/N8/E11b/T12a_train00,5,2.329017,2.78265,0.297196,0.262607,2.776971,0.315068,0.264001,2.777229,0.310502,0.263974
M1/N8/E11b/T12a_train00,6,2.173754,2.740851,0.270405,0.274045,2.73413,0.299087,0.27577,2.733744,0.292237,0.275903
M1/N8/E11b/T12a_train00,7,2.066154,2.692152,0.268536,0.288071,2.684078,0.299087,0.290261,2.683018,0.289954,0.290549
M1/N8/E11b/T12a_train00,8,1.957575,2.637908,0.269159,0.304538,2.628243,0.299087,0.307332,2.626645,0.289954,0.307719
M1/N8/E11b/T12a_train00,9,1.859817,2.578295,0.274143,0.323487,2.566863,0.299087,0.327023,2.564628,0.296804,0.327496
M1/N8/E11b/T12a_train00,10,1.764206,2.51765,0.28785,0.343529,2.504532,0.310502,0.347852,2.501642,0.308219,0.348386
M1/N8/E11b/T12a_train00,11,1.693293,2.45658,0.321495,0.36435,2.441842,0.349315,0.369489,2.438468,0.341324,0.369998
M1/N8/E11b/T12a_train00,12,1.612007,2.397844,0.381931,0.384737,2.381994,0.392694,0.390553,2.378117,0.38242,0.391016
M1/N8/E11b/T12a_train00,13,1.586838,2.337559,0.42243,0.405792,2.320632,0.426941,0.412314,2.316356,0.422374,0.412661
M1/N8/E11b/T12a_train00,14,1.524868,2.280323,0.453583,0.425865,2.262826,0.461187,0.432903,2.258347,0.453196,0.43305
M1/N8/E11b/T12a_train00,15,1.464884,2.224035,0.462928,0.445526,2.20614,0.472603,0.45301,2.201761,0.468037,0.452825
M1/N8/E11b/T12a_train00,16,1.419142,2.170397,0.471028,0.463972,2.152541,0.484018,0.471717,2.148406,0.476027,0.471173
M1/N8/E11b/T12a_train00,17,1.397332,2.119002,0.474143,0.481438,2.102045,0.5,0.489103,2.098101,0.484018,0.488251
M1/N8/E11b/T12a_train00,18,1.343777,2.071721,0.475389,0.49712,2.056406,0.5,0.504459,2.052608,0.48516,0.503356
M1/N8/E11b/T12a_train00,19,1.31139,2.026814,0.479128,0.511468,2.013564,0.504566,0.518321,2.009878,0.493151,0.517007
M1/N8/E11b/T12a_train00,20,1.286815,1.985509,0.480374,0.524263,1.974674,0.502283,0.530472,1.971412,0.494292,0.528896
M1/N8/E11b/T12a_train00,21,1.268646,1.946027,0.487227,0.536241,1.938152,0.511416,0.54161,1.935194,0.496575,0.539818
M1/N8/E11b/T12a_train00,22,1.210734,1.907964,0.493458,0.547107,1.902975,0.513699,0.55165,1.900642,0.5,0.549559
M1/N8/E11b/T12a_train00,23,1.18567,1.873059,0.502181,0.557034,1.871236,0.522831,0.560567,1.869685,0.506849,0.558165
M1/N8/E11b/T12a_train00,24,1.149113,1.839729,0.514019,0.566492,1.841385,0.531963,0.568828,1.840676,0.520548,0.566147
M1/N8/E11b/T12a_train00,25,1.120919,1.806905,0.530218,0.575826,1.812247,0.541096,0.576868,1.812532,0.531963,0.57386
M1/N8/E11b/T12a_train00,26,1.08284,1.775094,0.550156,0.584843,1.78443,0.561644,0.584409,1.785689,0.554795,0.581092
M1/N8/E11b/T12a_train00,27,1.061781,1.74356,0.573209,0.593972,1.757023,0.575342,0.591926,1.759406,0.574201,0.588291
M1/N8/E11b/T12a_train00,28,1.026914,1.711834,0.606854,0.603369,1.730004,0.600457,0.599503,1.733307,0.599315,0.595591
M1/N8/E11b/T12a_train00,29,1.005063,1.680014,0.633022,0.612998,1.703042,0.625571,0.607253,1.707582,0.622146,0.602972
M1/N8/E11b/T12a_train00,30,0.990863,1.648067,0.661059,0.622927,1.676254,0.639269,0.615139,1.681864,0.642694,0.610625
M1/N8/E11b/T12a_train00,31,0.966141,1.612909,0.674143,0.633495,1.64663,0.643836,0.623531,1.653334,0.648402,0.618829
M1/N8/E11b/T12a_train00,32,0.932276,1.576991,0.677882,0.644553,1.616879,0.650685,0.632179,1.624389,0.658676,0.627426
M1/N8/E11b/T12a_train00,33,0.93252,1.537515,0.68972,0.656402,1.584093,0.6621,0.641442,1.592021,0.665525,0.63681
M1/N8/E11b/T12a_train00,34,0.884449,1.497514,0.698442,0.668503,1.551571,0.675799,0.650687,1.559486,0.673516,0.646363
M1/N8/E11b/T12a_train00,35,0.851529,1.455272,0.710903,0.680762,1.51742,0.680365,0.659981,1.525035,0.682648,0.656093
M1/N8/E11b/T12a_train00,36,0.842325,1.411955,0.716511,0.693227,1.483047,0.687215,0.669201,1.489736,0.694064,0.666025
M1/N8/E11b/T12a_train00,37,0.82974,1.36942,0.724611,0.705123,1.449707,0.694064,0.677815,1.455351,0.703196,0.675379
M1/N8/E11b/T12a_train00,38,0.815125,1.32401,0.740187,0.717216,1.414412,0.696347,0.686385,1.417996,0.712329,0.68507
M1/N8/E11b/T12a_train00,39,0.78758,1.278423,0.749533,0.72922,1.379214,0.694064,0.694804,1.380494,0.719178,0.694683
