experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12a_train01,1,2.424864,2.388048,0.060904,0.304529,2.398415,0.035714,0.301428,2.39371,0.053763,0.302839
M1/N7/E11a/T12a_train01,2,2.323551,2.37708,0.392927,0.307984,2.38864,0.371429,0.304526,2.383687,0.358423,0.305998
M1/N7/E11a/T12a_train01,3,2.195306,2.361878,0.383104,0.312892,2.374534,0.364286,0.309089,2.369911,0.351254,0.310441
M1/N7/E11a/T12a_train01,4,2.034676,2.342664,0.383104,0.31928,2.356223,0.364286,0.315175,2.352429,0.351254,0.316232
M1/N7/E11a/T12a_train01,5,1.949597,2.31887,0.383104,0.327453,2.333308,0.364286,0.323032,2.33047,0.351254,0.323728
M1/N7/E11a/T12a_train01,6,1.852921,2.291304,0.383104,0.337237,2.306922,0.364286,0.332376,2.304978,0.351254,0.332703
M1/N7/E11a/T12a_train01,7,1.822932,2.260684,0.383104,0.348467,2.27755,0.364286,0.343114,2.276662,0.351254,0.342986
M1/N7/E11a/T12a_train01,8,1.702654,2.228127,0.383104,0.3608,2.24651,0.364286,0.354848,2.246655,0.351254,0.354222
M1/N7/E11a/T12a_train01,9,1.655654,2.193886,0.383104,0.374123,2.214216,0.364286,0.367402,2.215288,0.351254,0.366257
M1/N7/E11a/T12a_train01,10,1.598535,2.158826,0.383104,0.387964,2.181311,0.364286,0.380429,2.183455,0.351254,0.378635
M1/N7/E11a/T12a_train01,11,1.576055,2.125632,0.383104,0.401027,2.150634,0.364286,0.392631,2.153703,0.351254,0.390168
M1/N7/E11a/T12a_train01,12,1.509589,2.094149,0.383104,0.413291,2.122252,0.364286,0.403938,2.126133,0.351254,0.400772
M1/N7/E11a/T12a_train01,13,1.479929,2.064602,0.383104,0.424558,2.096497,0.364286,0.414113,2.100887,0.351254,0.410317
M1/N7/E11a/T12a_train01,14,1.425936,2.036975,0.383104,0.434862,2.073012,0.364286,0.423251,2.077749,0.351254,0.418877
M1/N7/E11a/T12a_train01,15,1.379093,2.011816,0.385069,0.443994,2.052681,0.364286,0.431053,2.057411,0.354839,0.426237
M1/N7/E11a/T12a_train01,16,1.306321,1.98836,0.387033,0.452326,2.034416,0.364286,0.437927,2.03892,0.358423,0.432792
M1/N7/E11a/T12a_train01,17,1.277697,1.966461,0.412574,0.459988,2.018253,0.385714,0.443907,2.022279,0.369176,0.438584
M1/N7/E11a/T12a_train01,18,1.204685,1.945603,0.424361,0.467214,2.003836,0.392857,0.449147,2.007145,0.379928,0.443778
M1/N7/E11a/T12a_train01,19,1.187328,1.925098,0.43222,0.474344,1.99011,0.4,0.454074,1.992595,0.387097,0.448749
M1/N7/E11a/T12a_train01,20,1.136057,1.904951,0.438114,0.481426,1.977141,0.4,0.458711,1.978612,0.390681,0.453557
M1/N7/E11a/T12a_train01,21,1.115174,1.884603,0.444008,0.488673,1.964629,0.4,0.463153,1.964845,0.397849,0.458315
M1/N7/E11a/T12a_train01,22,1.056482,1.863616,0.46169,0.496329,1.952409,0.407143,0.467561,1.950763,0.408602,0.463303
M1/N7/E11a/T12a_train01,23,1.006998,1.841273,0.483301,0.504631,1.939678,0.407143,0.4722,1.935931,0.419355,0.468637
M1/N7/E11a/T12a_train01,24,1.011671,1.817998,0.514735,0.51351,1.927364,0.414286,0.476774,1.921225,0.426523,0.474073
M1/N7/E11a/T12a_train01,25,0.947165,1.79287,0.532417,0.523267,1.913708,0.457143,0.48194,1.905023,0.444444,0.480177
M1/N7/E11a/T12a_train01,26,0.886767,1.765654,0.546169,0.534055,1.899631,0.464286,0.487386,1.88781,0.451613,0.486814
M1/N7/E11a/T12a_train01,27,0.835835,1.734324,0.557957,0.54658,1.883034,0.485714,0.493881,1.867922,0.458781,0.494604
M1/N7/E11a/T12a_train01,28,0.809846,1.701606,0.599214,0.559822,1.865737,0.507143,0.500738,1.847277,0.501792,0.502782
M1/N7/E11a/T12a_train01,29,0.74778,1.665716,0.634578,0.574491,1.8466,0.528571,0.508404,1.824384,0.548387,0.511969
M1/N7/E11a/T12a_train01,30,0.770114,1.625284,0.687623,0.591255,1.824368,0.578571,0.517483,1.798265,0.605735,0.52266
M1/N7/E11a/T12a_train01,31,0.692254,1.582173,0.750491,0.609288,1.800431,0.614286,0.527354,1.770794,0.634409,0.534019
M1/N7/E11a/T12a_train01,32,0.673291,1.53521,0.811395,0.628832,1.772682,0.664286,0.538778,1.74008,0.677419,0.546658
M1/N7/E11a/T12a_train01,33,0.643314,1.486201,0.833006,0.649055,1.744409,0.678571,0.550344,1.708705,0.698925,0.559536
M1/N7/E11a/T12a_train01,34,0.59089,1.433548,0.878193,0.670388,1.713761,0.692857,0.562664,1.674773,0.691756,0.573285
M1/N7/E11a/T12a_train01,35,0.535473,1.377441,0.88998,0.692448,1.68084,0.692857,0.575479,1.638343,0.713262,0.587726
M1/N7/E11a/T12a_train01,36,0.539624,1.317491,0.899804,0.715126,1.645704,0.7,0.588505,1.598872,0.724014,0.602877
M1/N7/E11a/T12a_train01,37,0.522432,1.253921,0.903733,0.73805,1.60898,0.685714,0.601228,1.5571,0.72043,0.618101
M1/N7/E11a/T12a_train01,38,0.49188,1.189417,0.907662,0.760175,1.57262,0.685714,0.613014,1.515679,0.724014,0.632394
M1/N7/E11a/T12a_train01,39,0.462621,1.12255,0.901768,0.78176,1.53482,0.664286,0.624491,1.472786,0.731183,0.6463
M1/N7/E11a/T12a_train01,40,0.426903,1.054378,0.899804,0.802521,1.497105,0.65,0.635142,1.430415,0.724014,0.659135
M1/N7/E11a/T12a_train01,41,0.383918,0.986756,0.903733,0.82174,1.460442,0.65,0.644734,1.389113,0.706093,0.670739
M1/N7/E11a/T12a_train01,42,0.388127,0.91917,0.905697,0.839841,1.424628,0.635714,0.653374,1.349647,0.698925,0.680991
M1/N7/E11a/T12a_train01,43,0.374867,0.852672,0.909627,0.856391,1.39035,0.635714,0.661115,1.311373,0.691756,0.690125
M1/N7/E11a/T12a_train01,44,0.357293,0.785538,0.91945,0.87191,1.353932,0.628571,0.669023,1.271461,0.688172,0.699138
M1/N7/E11a/T12a_train01,45,0.337169,0.718908,0.925344,0.886276,1.31843,0.628571,0.676426,1.230561,0.684588,0.707913
M1/N7/E11a/T12a_train01,46,0.301458,0.656114,0.937132,0.898877,1.285224,0.628571,0.683136,1.191442,0.684588,0.715789
M1/N7/E11a/T12a_train01,47,0.32147,0.59376,0.939096,0.910574,1.251365,0.642857,0.689614,1.151618,0.688172,0.723329
M1/N7/E11a/T12a_train01,48,0.293959,0.533676,0.943026,0.920967,1.217999,0.65,0.695741,1.113502,0.684588,0.729897
M1/N7/E11a/T12a_train01,49,0.284431,0.479914,0.952849,0.929669,1.188198,0.65,0.701047,1.080947,0.684588,0.734917
M1/N7/E11a/T12a_train01,50,0.259577,0.429849,0.954813,0.937225,1.159696,0.65,0.706457,1.04913,0.684588,0.739786
M1/N7/E11a/T12a_train01,51,0.260611,0.384026,0.960707,0.943753,1.13361,0.657143,0.711159,1.01972,0.702509,0.744044
M1/N7/E11a/T12a_train01,52,0.23071,0.342932,0.962672,0.94946,1.112011,0.664286,0.715223,0.99312,0.706093,0.747835
M1/N7/E11a/T12a_train01,53,0.215317,0.305998,0.962672,0.954606,1.092441,0.685714,0.719487,0.968801,0.709677,0.751523
M1/N7/E11a/T12a_train01,54,0.235596,0.274137,0.964637,0.958952,1.07533,0.685714,0.723566,0.949012,0.713262,0.75407
M1/N7/E11a/T12a_train01,55,0.202098,0.24558,0.964637,0.962866,1.062033,0.685714,0.727416,0.93105,0.713262,0.756694
M1/N7/E11a/T12a_train01,56,0.200267,0.219887,0.966601,0.966544,1.050165,0.685714,0.731575,0.912789,0.716846,0.760186
M1/N7/E11a/T12a_train01,57,0.176021,0.196911,0.968566,0.969956,1.040807,0.7,0.735569,0.896604,0.72043,0.763513
M1/N7/E11a/T12a_train01,58,0.199667,0.177832,0.968566,0.972324,1.035868,0.7,0.738613,0.884154,0.724014,0.765873
M1/N7/E11a/T12a_train01,59,0.162727,0.161771,0.968566,0.973823,1.032175,0.714286,0.741483,0.872427,0.72043,0.768406
M1/N7/E11a/T12a_train01,60,0.164771,0.147466,0.972495,0.975383,1.028026,0.721429,0.744846,0.860025,0.724014,0.771549
M1/N7/E11a/T12a_train01,61,0.159595,0.133763,0.97446,0.977087,1.025622,0.728571,0.747531,0.848133,0.716846,0.77465
M1/N7/E11a/T12a_train01,62,0.142522,0.120862,0.976424,0.97896,1.024081,0.728571,0.749599,0.839101,0.72043,0.777064
M1/N7/E11a/T12a_train01,63,0.136179,0.109178,0.978389,0.981069,1.024653,0.728571,0.751395,0.832256,0.727599,0.77935
M1/N7/E11a/T12a_train01,64,0.128091,0.099027,0.980354,0.983012,1.026867,0.735714,0.752712,0.826605,0.731183,0.781269
M1/N7/E11a/T12a_train01,65,0.112015,0.09042,0.982318,0.984401,1.031155,0.735714,0.753231,0.822601,0.731183,0.782722
M1/N7/E11a/T12a_train01,66,0.129817,0.082924,0.986248,0.985491,1.037794,0.735714,0.754098,0.820555,0.741935,0.783714
M1/N7/E11a/T12a_train01,67,0.114819,0.076541,0.988212,0.986442,1.049275,0.721429,0.754957,0.817942,0.741935,0.785094
M1/N7/E11a/T12a_train01,68,0.122823,0.071116,0.988212,0.987272,1.060449,0.735714,0.755827,0.81702,0.741935,0.786165
M1/N7/E11a/T12a_train01,69,0.127631,0.066298,0.988212,0.988049,1.071328,0.728571,0.7568,0.817576,0.741935,0.786837
M1/N7/E11a/T12a_train01,70,0.104128,0.061737,0.988212,0.988787,1.081552,0.728571,0.757902,0.819763,0.749104,0.787333
M1/N7/E11a/T12a_train01,71,0.091287,0.05782,0.994106,0.989451,1.092025,0.728571,0.758508,0.824993,0.749104,0.78707
M1/N7/E11a/T12a_train01,72,0.097673,0.054362,0.994106,0.990056,1.102016,0.728571,0.75884,0.831719,0.741935,0.78657
M1/N7/E11a/T12a_train01,73,0.092756,0.050888,0.994106,0.990627,1.108625,0.728571,0.759124,0.839109,0.741935,0.785932
M1/N7/E11a/T12a_train01,74,0.090902,0.047424,0.994106,0.991192,1.113271,0.735714,0.758721,0.847545,0.734767,0.784925
M1/N7/E11a/T12a_train01,75,0.091935,0.044438,0.994106,0.991708,1.116181,0.721429,0.75927,0.854398,0.731183,0.784232
M1/N7/E11a/T12a_train01,76,0.079328,0.04181,0.996071,0.992196,1.119246,0.728571,0.759061,0.862092,0.731183,0.783296
M1/N7/E11a/T12a_train01,77,0.078862,0.039494,0.996071,0.992616,1.12425,0.721429,0.758613,0.87153,0.731183,0.781728
M1/N7/E11a/T12a_train01,78,0.074562,0.037373,0.996071,0.993042,1.127796,0.721429,0.758518,0.881273,0.734767,0.780418
M1/N7/E11a/T12a_train01,79,0.071041,0.035419,0.996071,0.993426,1.132304,0.721429,0.758365,0.892461,0.738351,0.778849
M1/N7/E11a/T12a_train01,80,0.074961,0.033208,0.996071,0.99391,1.137837,0.728571,0.758674,0.895287,0.741935,0.779672
M1/N7/E11a/T12a_train01,81,0.071885,0.031063,0.996071,0.99445,1.141368,0.728571,0.758865,0.897625,0.741935,0.780185
M1/N7/E11a/T12a_train01,82,0.069328,0.029,1.0,0.994971,1.146407,0.728571,0.758569,0.900053,0.74552,0.780692
M1/N7/E11a/T12a_train01,83,0.062211,0.026982,1.0,0.995466,1.15195,0.721429,0.758478,0.902871,0.74552,0.781313
M1/N7/E11a/T12a_train01,84,0.067236,0.025178,1.0,0.995933,1.158161,0.728571,0.757707,0.906628,0.749104,0.781807
M1/N7/E11a/T12a_train01,85,0.064019,0.023469,1.0,0.996386,1.165426,0.728571,0.757336,0.907301,0.749104,0.783226
M1/N7/E11a/T12a_train01,86,0.057916,0.021773,1.0,0.996835,1.172686,0.735714,0.757263,0.908588,0.752688,0.784322
M1/N7/E11a/T12a_train01,87,0.053172,0.020188,1.0,0.997273,1.178486,0.735714,0.757683,0.909811,0.756272,0.78505
M1/N7/E11a/T12a_train01,88,0.052828,0.018697,1.0,0.99768,1.184384,0.735714,0.758463,0.911424,0.756272,0.785491
M1/N7/E11a/T12a_train01,89,0.04614,0.017319,1.0,0.998063,1.188688,0.735714,0.759325,0.913875,0.752688,0.785701
M1/N7/E11a/T12a_train01,90,0.049107,0.015995,1.0,0.99841,1.191068,0.735714,0.759939,0.915164,0.749104,0.785935
M1/N7/E11a/T12a_train01,91,0.044221,0.014753,1.0,0.998704,1.19448,0.721429,0.760417,0.915982,0.752688,0.786149
M1/N7/E11a/T12a_train01,92,0.046389,0.013603,1.0,0.998955,1.195231,0.721429,0.76114,0.916071,0.752688,0.786564
M1/N7/E11a/T12a_train01,93,0.038195,0.012553,1.0,0.999151,1.194687,0.721429,0.761925,0.915095,0.752688,0.78708
M1/N7/E11a/T12a_train01,94,0.038332,0.011461,1.0,0.999332,1.192052,0.728571,0.762644,0.914156,0.756272,0.787643
M1/N7/E11a/T12a_train01,95,0.034126,0.010459,1.0,0.999474,1.18878,0.735714,0.763186,0.914035,0.756272,0.788201
M1/N7/E11a/T12a_train01,96,0.039133,0.009466,1.0,0.999592,1.184089,0.742857,0.764659,0.91209,0.756272,0.789147
M1/N7/E11a/T12a_train01,97,0.051449,0.008534,1.0,0.999683,1.181286,0.742857,0.766192,0.908367,0.756272,0.790788
M1/N7/E11a/T12a_train01,98,0.035014,0.00769,1.0,0.999753,1.177218,0.742857,0.767604,0.902549,0.756272,0.793009
M1/N7/E11a/T12a_train01,99,0.035484,0.006934,1.0,0.999805,1.177999,0.75,0.768082,0.899126,0.759857,0.795033
M1/N7/E11a/T12a_train01,100,0.027802,0.006279,1.0,0.999846,1.178844,0.735714,0.768221,0.898307,0.763441,0.796472
