experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11b/T12a_train01,1,2.466128,2.405905,0.076621,0.299024,2.400492,0.078571,0.300671,2.40336,0.078853,0.299807
M1/N7/E11b/T12a_train01,2,2.321724,2.393811,0.076621,0.30262,2.38832,0.078571,0.304289,2.391579,0.078853,0.30331
M1/N7/E11b/T12a_train01,3,2.210701,2.378793,0.076621,0.307179,2.37312,0.078571,0.308879,2.377162,0.078853,0.307671
M1/N7/E11b/T12a_train01,4,2.099381,2.356077,0.076621,0.314311,2.350241,0.078571,0.316015,2.355436,0.078853,0.314459
M1/N7/E11b/T12a_train01,5,1.996445,2.326772,0.383104,0.323893,2.321056,0.364286,0.325485,2.32769,0.351254,0.323472
M1/N7/E11b/T12a_train01,6,1.892369,2.294202,0.383104,0.335037,2.288829,0.364286,0.336409,2.296916,0.351254,0.333906
M1/N7/E11b/T12a_train01,7,1.859926,2.260041,0.383104,0.34722,2.255112,0.364286,0.348297,2.264634,0.351254,0.345274
M1/N7/E11b/T12a_train01,8,1.794892,2.225087,0.383104,0.360101,2.221145,0.364286,0.360715,2.23211,0.351254,0.357108
M1/N7/E11b/T12a_train01,9,1.727975,2.190986,0.383104,0.372977,2.188331,0.364286,0.373006,2.200718,0.351254,0.368794
M1/N7/E11b/T12a_train01,10,1.692011,2.161487,0.383104,0.384087,2.160438,0.364286,0.383535,2.173722,0.351254,0.378844
M1/N7/E11b/T12a_train01,11,1.649136,2.128514,0.383104,0.396517,2.129753,0.364286,0.395236,2.144166,0.351254,0.38987
M1/N7/E11b/T12a_train01,12,1.585604,2.100331,0.383104,0.406923,2.10498,0.364286,0.404584,2.119575,0.351254,0.398869
M1/N7/E11b/T12a_train01,13,1.541257,2.077181,0.383104,0.415112,2.084538,0.364286,0.412103,2.099367,0.351254,0.406012
M1/N7/E11b/T12a_train01,14,1.461739,2.054287,0.383104,0.423041,2.066328,0.364286,0.418897,2.080368,0.351254,0.412684
M1/N7/E11b/T12a_train01,15,1.425972,2.034446,0.383104,0.429895,2.051417,0.364286,0.424478,2.064497,0.351254,0.418233
M1/N7/E11b/T12a_train01,16,1.345371,2.013643,0.383104,0.43706,2.035531,0.364286,0.430328,2.047888,0.351254,0.424025
M1/N7/E11b/T12a_train01,17,1.299176,1.992639,0.383104,0.44462,2.020843,0.364286,0.436065,2.031976,0.351254,0.429851
M1/N7/E11b/T12a_train01,18,1.250384,1.97051,0.385069,0.452327,2.004367,0.364286,0.442286,2.014177,0.354839,0.436161
M1/N7/E11b/T12a_train01,19,1.227348,1.949219,0.396857,0.460073,1.990352,0.371429,0.447833,1.998386,0.358423,0.442014
M1/N7/E11b/T12a_train01,20,1.167828,1.924966,0.422397,0.469131,1.973785,0.385714,0.454374,1.980331,0.387097,0.448843
M1/N7/E11b/T12a_train01,21,1.133195,1.897182,0.483301,0.479553,1.954437,0.428571,0.462108,1.95948,0.422939,0.456782
M1/N7/E11b/T12a_train01,22,1.076074,1.8698,0.508841,0.490263,1.936678,0.457143,0.469278,1.939463,0.44086,0.464667
M1/N7/E11b/T12a_train01,23,1.039286,1.842366,0.514735,0.501096,1.920208,0.471429,0.476085,1.920242,0.455197,0.47237
M1/N7/E11b/T12a_train01,24,1.002198,1.816046,0.528487,0.5116,1.905287,0.478571,0.482209,1.901969,0.476703,0.479667
M1/N7/E11b/T12a_train01,25,0.937926,1.778256,0.532417,0.526488,1.882749,0.478571,0.491369,1.875422,0.480287,0.490123
M1/N7/E11b/T12a_train01,26,0.890445,1.73966,0.540275,0.541306,1.858639,0.485714,0.500655,1.848121,0.487455,0.500425
M1/N7/E11b/T12a_train01,27,0.873693,1.703055,0.548134,0.556029,1.838294,0.5,0.508791,1.824214,0.491039,0.509853
M1/N7/E11b/T12a_train01,28,0.830443,1.667823,0.569745,0.570428,1.820799,0.507143,0.515952,1.802002,0.505376,0.518734
M1/N7/E11b/T12a_train01,29,0.759824,1.626779,0.591356,0.586906,1.798885,0.514286,0.524587,1.77572,0.508961,0.528905
M1/N7/E11b/T12a_train01,30,0.753025,1.578079,0.634578,0.606293,1.771736,0.542857,0.535103,1.744019,0.519713,0.541044
