experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E10a/T12b_train00,1,2.442244,2.367133,0.398721,0.310794,2.372561,0.367188,0.309202,2.368672,0.404669,0.31033
M1/N8/E10a/T12b_train00,2,2.305541,2.359312,0.400853,0.313267,2.365662,0.367188,0.311381,2.360892,0.40856,0.31279
M1/N8/E10a/T12b_train00,3,2.21459,2.347407,0.400853,0.317069,2.355147,0.367188,0.314741,2.348798,0.40856,0.316649
M1/N8/E10a/T12b_train00,4,2.114306,2.33197,0.400853,0.322087,2.341501,0.367188,0.319176,2.33288,0.40856,0.321822
M1/N8/E10a/T12b_train00,5,2.020874,2.312406,0.400853,0.32859,2.324165,0.367188,0.324931,2.312552,0.40856,0.328573
M1/N8/E10a/T12b_train00,6,1.975769,2.289081,0.400853,0.336569,2.303578,0.367188,0.331959,2.288119,0.40856,0.336914
M1/N8/E10a/T12b_train00,7,1.907848,2.262497,0.400853,0.345923,2.280108,0.367188,0.340194,2.260004,0.40856,0.346771
M1/N8/E10a/T12b_train00,8,1.876381,2.233402,0.400853,0.356431,2.254622,0.367188,0.349373,2.229188,0.40856,0.357844
M1/N8/E10a/T12b_train00,9,1.846601,2.202447,0.400853,0.367861,2.227655,0.367188,0.359294,2.196305,0.40856,0.369911
M1/N8/E10a/T12b_train00,10,1.76531,2.169766,0.400853,0.380087,2.199335,0.367188,0.369843,2.161282,0.40856,0.382919
M1/N8/E10a/T12b_train00,11,1.741115,2.13759,0.400853,0.39217,2.171705,0.367188,0.380167,2.126621,0.40856,0.395832
M1/N8/E10a/T12b_train00,12,1.744961,2.106724,0.400853,0.403648,2.145487,0.367188,0.389865,2.093087,0.40856,0.408201
M1/N8/E10a/T12b_train00,13,1.718178,2.078543,0.400853,0.413847,2.121829,0.367188,0.398401,2.062268,0.40856,0.419284
M1/N8/E10a/T12b_train00,14,1.697897,2.053242,0.400853,0.422688,2.100856,0.367188,0.405731,2.034399,0.40856,0.428992
M1/N8/E10a/T12b_train00,15,1.637025,2.030575,0.400853,0.430282,2.082309,0.367188,0.411979,2.009272,0.40856,0.437436
M1/N8/E10a/T12b_train00,16,1.615547,2.010797,0.400853,0.436665,2.066378,0.367188,0.417197,1.987423,0.40856,0.44456
M1/N8/E10a/T12b_train00,17,1.589947,1.993316,0.400853,0.442139,2.052575,0.367188,0.421631,1.968301,0.40856,0.450641
M1/N8/E10a/T12b_train00,18,1.586144,1.977669,0.400853,0.446975,2.040644,0.367188,0.425425,1.951632,0.40856,0.455872
M1/N8/E10a/T12b_train00,19,1.554972,1.964709,0.400853,0.450884,2.030955,0.367188,0.428451,1.9381,0.40856,0.460048
M1/N8/E10a/T12b_train00,20,1.536532,1.952642,0.400853,0.454588,2.02213,0.367188,0.431257,1.926082,0.40856,0.463784
M1/N8/E10a/T12b_train00,21,1.519105,1.942066,0.400853,0.457877,2.014705,0.367188,0.433619,1.916104,0.40856,0.466901
M1/N8/E10a/T12b_train00,22,1.474761,1.930781,0.400853,0.461579,2.00717,0.367188,0.436135,1.90636,0.40856,0.470033
M1/N8/E10a/T12b_train00,23,1.469868,1.920198,0.400853,0.465139,2.000479,0.367188,0.438416,1.897893,0.40856,0.47278
M1/N8/E10a/T12b_train00,24,1.405044,1.910859,0.402985,0.46835,1.994975,0.367188,0.440304,1.891281,0.40856,0.474953
M1/N8/E10a/T12b_train00,25,1.388812,1.901013,0.407249,0.471728,1.989305,0.375,0.44225,1.884476,0.40856,0.477151
M1/N8/E10a/T12b_train00,26,1.370867,1.891502,0.407249,0.475021,1.984337,0.375,0.443976,1.878665,0.412451,0.478992
M1/N8/E10a/T12b_train00,27,1.380396,1.881031,0.409382,0.478646,1.979208,0.375,0.445781,1.872603,0.412451,0.480865
M1/N8/E10a/T12b_train00,28,1.334367,1.870738,0.409382,0.482238,1.9744,0.375,0.447487,1.867208,0.412451,0.482507
M1/N8/E10a/T12b_train00,29,1.322097,1.860414,0.413646,0.485801,1.969743,0.375,0.449092,1.862182,0.412451,0.483996
M1/N8/E10a/T12b_train00,30,1.29472,1.849327,0.415778,0.489594,1.964777,0.375,0.45074,1.857116,0.412451,0.48546
M1/N8/E10a/T12b_train00,31,1.273862,1.838325,0.424307,0.493414,1.960111,0.375,0.452264,1.852978,0.412451,0.486633
M1/N8/E10a/T12b_train00,32,1.230656,1.825996,0.428571,0.497725,1.954769,0.375,0.454023,1.848272,0.412451,0.487993
M1/N8/E10a/T12b_train00,33,1.222136,1.812061,0.432836,0.502529,1.948865,0.375,0.455892,1.842787,0.412451,0.48954
M1/N8/E10a/T12b_train00,34,1.18388,1.797081,0.439232,0.507738,1.942541,0.375,0.457857,1.837547,0.416342,0.490974
M1/N8/E10a/T12b_train00,35,1.198357,1.780591,0.445629,0.513658,1.935199,0.375,0.460226,1.832014,0.420233,0.49263
M1/N8/E10a/T12b_train00,36,1.162308,1.762671,0.452026,0.520128,1.927144,0.398438,0.4629,1.825726,0.420233,0.494632
M1/N8/E10a/T12b_train00,37,1.127341,1.742134,0.460554,0.527424,1.91755,0.398438,0.46612,1.817812,0.435798,0.4972
M1/N8/E10a/T12b_train00,38,1.122894,1.718145,0.471215,0.536084,1.905598,0.398438,0.470203,1.808626,0.435798,0.500383
M1/N8/E10a/T12b_train00,39,1.086118,1.692184,0.484009,0.545366,1.892878,0.40625,0.474473,1.798644,0.431907,0.503834
M1/N8/E10a/T12b_train00,40,1.061343,1.664564,0.490405,0.555297,1.87941,0.40625,0.47899,1.788704,0.439689,0.507278
M1/N8/E10a/T12b_train00,41,1.037322,1.634853,0.507463,0.565935,1.864826,0.40625,0.483882,1.778386,0.439689,0.510837
M1/N8/E10a/T12b_train00,42,1.037859,1.602794,0.515991,0.577286,1.849384,0.40625,0.489027,1.768004,0.439689,0.514279
M1/N8/E10a/T12b_train00,43,1.020432,1.568811,0.530917,0.589152,1.83348,0.40625,0.49425,1.757518,0.447471,0.517529
M1/N8/E10a/T12b_train00,44,0.972617,1.532418,0.539446,0.601367,1.81672,0.40625,0.499555,1.746189,0.447471,0.52079
M1/N8/E10a/T12b_train00,45,0.97318,1.495437,0.545842,0.613849,1.801166,0.40625,0.504376,1.735978,0.451362,0.523633
M1/N8/E10a/T12b_train00,46,0.945647,1.458318,0.558635,0.626484,1.785685,0.40625,0.509287,1.726993,0.447471,0.526221
M1/N8/E10a/T12b_train00,47,0.917662,1.417412,0.575693,0.640022,1.768091,0.414062,0.514697,1.715603,0.455253,0.529507
M1/N8/E10a/T12b_train00,48,0.883269,1.377488,0.601279,0.653588,1.752337,0.4375,0.519584,1.706387,0.455253,0.532199
M1/N8/E10a/T12b_train00,49,0.857249,1.337158,0.622601,0.667001,1.737479,0.453125,0.524167,1.698421,0.474708,0.534336
M1/N8/E10a/T12b_train00,50,0.82735,1.294304,0.639659,0.68065,1.721627,0.453125,0.528856,1.688495,0.478599,0.536884
M1/N8/E10a/T12b_train00,51,0.796989,1.251771,0.658849,0.694282,1.70646,0.476562,0.533368,1.678481,0.470817,0.539479
M1/N8/E10a/T12b_train00,52,0.78839,1.208572,0.678038,0.707985,1.691677,0.492188,0.537676,1.668723,0.470817,0.541999
M1/N8/E10a/T12b_train00,53,0.787254,1.164815,0.69936,0.721543,1.677911,0.5,0.541525,1.659703,0.463035,0.544159
M1/N8/E10a/T12b_train00,54,0.741881,1.122645,0.716418,0.734722,1.667604,0.515625,0.544428,1.653885,0.474708,0.545453
M1/N8/E10a/T12b_train00,55,0.732871,1.077778,0.729211,0.747745,1.6584,0.523438,0.546816,1.649279,0.459144,0.546131
M1/N8/E10a/T12b_train00,56,0.702458,1.03175,0.739872,0.760337,1.64965,0.523438,0.548701,1.64378,0.463035,0.546866
M1/N8/E10a/T12b_train00,57,0.710568,0.987106,0.748401,0.771951,1.642266,0.515625,0.550078,1.640451,0.455253,0.547003
M1/N8/E10a/T12b_train00,58,0.664285,0.94443,0.761194,0.783506,1.636895,0.515625,0.550933,1.639905,0.455253,0.546564
M1/N8/E10a/T12b_train00,59,0.659101,0.901331,0.776119,0.794895,1.632005,0.515625,0.55175,1.638199,0.466926,0.546582
M1/N8/E10a/T12b_train00,60,0.644532,0.858626,0.797441,0.806109,1.629938,0.515625,0.55214,1.637285,0.470817,0.546661
