experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12a_train00,1,2.846535,2.791767,0.011364,0.24511,2.790598,0.006897,0.245386,2.793394,0.020761,0.244721
M1/N7/E10b/T12a_train00,2,2.702714,2.779024,0.007576,0.248255,2.777828,0.0,0.24854,2.780544,0.017301,0.247888
M1/N7/E10b/T12a_train00,3,2.570576,2.76002,0.034091,0.253038,2.758833,0.027586,0.25332,2.761641,0.034602,0.252639
M1/N7/E10b/T12a_train00,4,2.444619,2.734944,0.284091,0.259523,2.73376,0.296552,0.259805,2.736656,0.280277,0.259101
M1/N7/E10b/T12a_train00,5,2.335167,2.703358,0.276515,0.267977,2.702255,0.296552,0.268231,2.705281,0.283737,0.267504
M1/N7/E10b/T12a_train00,6,2.183959,2.664503,0.276515,0.278812,2.663512,0.296552,0.279014,2.666687,0.283737,0.278286
M1/N7/E10b/T12a_train00,7,2.111339,2.618703,0.276515,0.292183,2.618011,0.296552,0.292256,2.621337,0.283737,0.291564
M1/N7/E10b/T12a_train00,8,1.991984,2.565911,0.276515,0.308374,2.565902,0.296552,0.308171,2.569397,0.283737,0.307559
M1/N7/E10b/T12a_train00,9,1.934147,2.50688,0.304924,0.327362,2.507855,0.324138,0.326733,2.511408,0.297578,0.326323
M1/N7/E10b/T12a_train00,10,1.908991,2.44391,0.445076,0.348409,2.446271,0.406897,0.347174,2.449734,0.435986,0.34711
M1/N7/E10b/T12a_train00,11,1.853154,2.381055,0.4375,0.369875,2.385165,0.37931,0.367883,2.388552,0.422145,0.368262
M1/N7/E10b/T12a_train00,12,1.789119,2.318663,0.439394,0.391173,2.325188,0.4,0.388192,2.328416,0.401384,0.389151
M1/N7/E10b/T12a_train00,13,1.75142,2.26176,0.445076,0.410073,2.27097,0.413793,0.40605,2.274273,0.415225,0.407554
M1/N7/E10b/T12a_train00,14,1.713214,2.210301,0.450758,0.426396,2.222652,0.413793,0.421276,2.226146,0.408304,0.423263
M1/N7/E10b/T12a_train00,15,1.721963,2.166845,0.456439,0.439385,2.18273,0.406897,0.433164,2.186679,0.415225,0.435443
M1/N7/E10b/T12a_train00,16,1.681627,2.130472,0.467803,0.449677,2.150368,0.413793,0.442303,2.154816,0.418685,0.444686
M1/N7/E10b/T12a_train00,17,1.677259,2.101918,0.484848,0.457491,2.126078,0.427586,0.44892,2.131293,0.425606,0.451155
M1/N7/E10b/T12a_train00,18,1.592372,2.079216,0.503788,0.463733,2.107913,0.406897,0.45386,2.114225,0.439446,0.455674
M1/N7/E10b/T12a_train00,19,1.579552,2.061852,0.50947,0.468735,2.09542,0.448276,0.45743,2.103074,0.439446,0.458557
M1/N7/E10b/T12a_train00,20,1.524068,2.047968,0.511364,0.473039,2.086798,0.468966,0.460119,2.095805,0.439446,0.460447
M1/N7/E10b/T12a_train00,21,1.500999,2.036556,0.511364,0.476978,2.080925,0.427586,0.462278,2.091454,0.442907,0.461669
M1/N7/E10b/T12a_train00,22,1.429961,2.028528,0.517045,0.480458,2.078865,0.434483,0.463659,2.091045,0.432526,0.462013
M1/N7/E10b/T12a_train00,23,1.408555,2.021079,0.515152,0.484027,2.077927,0.441379,0.464847,2.092049,0.429066,0.462009
M1/N7/E10b/T12a_train00,24,1.374295,2.014813,0.524621,0.487555,2.078613,0.441379,0.465662,2.09509,0.429066,0.461529
M1/N7/E10b/T12a_train00,25,1.389416,2.00856,0.530303,0.491226,2.079734,0.441379,0.466351,2.099116,0.418685,0.46074
M1/N7/E10b/T12a_train00,26,1.317206,2.002204,0.535985,0.495073,2.081552,0.441379,0.466778,2.104216,0.415225,0.459567
M1/N7/E10b/T12a_train00,27,1.298947,1.993649,0.539773,0.499594,2.081903,0.441379,0.467531,2.108167,0.404844,0.458655
M1/N7/E10b/T12a_train00,28,1.251485,1.982013,0.541667,0.505092,2.080093,0.448276,0.468847,2.110481,0.404844,0.458157
M1/N7/E10b/T12a_train00,29,1.229638,1.969145,0.547348,0.511068,2.078168,0.441379,0.470115,2.112764,0.404844,0.457579
M1/N7/E10b/T12a_train00,30,1.178573,1.951231,0.55303,0.518675,2.072987,0.448276,0.47227,2.111982,0.401384,0.457785
M1/N7/E10b/T12a_train00,31,1.123626,1.930979,0.575758,0.527191,2.06725,0.462069,0.47461,2.111135,0.394464,0.457922
M1/N7/E10b/T12a_train00,32,1.128977,1.905506,0.585227,0.537368,2.057823,0.468966,0.478065,2.106838,0.404844,0.459009
M1/N7/E10b/T12a_train00,33,1.080414,1.875541,0.600379,0.548957,2.045717,0.503448,0.48224,2.100198,0.404844,0.460653
M1/N7/E10b/T12a_train00,34,1.080764,1.841437,0.611742,0.561839,2.031413,0.510345,0.487103,2.092056,0.394464,0.46261
M1/N7/E10b/T12a_train00,35,1.037513,1.807561,0.623106,0.574479,2.01844,0.531034,0.49147,2.085882,0.391003,0.463801
M1/N7/E10b/T12a_train00,36,1.006977,1.768344,0.628788,0.588353,2.001947,0.524138,0.496759,2.076931,0.394464,0.465526
M1/N7/E10b/T12a_train00,37,0.980635,1.727752,0.645833,0.602595,1.986261,0.517241,0.501701,2.068986,0.394464,0.466879
M1/N7/E10b/T12a_train00,38,0.947648,1.685383,0.657197,0.61722,1.970656,0.517241,0.506506,2.062068,0.394464,0.467804
M1/N7/E10b/T12a_train00,39,0.921802,1.642715,0.681818,0.63249,1.956809,0.524138,0.510986,2.05765,0.387543,0.468116
M1/N7/E10b/T12a_train00,40,0.927002,1.596312,0.702652,0.648513,1.941354,0.531034,0.515706,2.052036,0.391003,0.468582
M1/N7/E10b/T12a_train00,41,0.846241,1.549679,0.725379,0.664403,1.926756,0.544828,0.520047,2.046775,0.401384,0.469099
M1/N7/E10b/T12a_train00,42,0.822385,1.501245,0.74053,0.680267,1.911741,0.544828,0.524318,2.041548,0.411765,0.469414
M1/N7/E10b/T12a_train00,43,0.83311,1.450943,0.753788,0.696079,1.896908,0.537931,0.528391,2.036052,0.411765,0.469759
M1/N7/E10b/T12a_train00,44,0.823723,1.396241,0.763258,0.712295,1.878459,0.517241,0.533329,2.027607,0.408304,0.470807
M1/N7/E10b/T12a_train00,45,0.806986,1.339331,0.776515,0.728292,1.857717,0.531034,0.538933,2.016148,0.429066,0.472891
M1/N7/E10b/T12a_train00,46,0.712151,1.280547,0.795455,0.743758,1.833707,0.551724,0.54531,2.001156,0.418685,0.476073
M1/N7/E10b/T12a_train00,47,0.728356,1.221535,0.808712,0.75867,1.80977,0.565517,0.551569,1.987259,0.422145,0.478849
M1/N7/E10b/T12a_train00,48,0.697886,1.159403,0.831439,0.773559,1.782995,0.558621,0.558385,1.972295,0.432526,0.481757
M1/N7/E10b/T12a_train00,49,0.698578,1.09958,0.856061,0.787295,1.756774,0.558621,0.564875,1.959398,0.439446,0.484099
M1/N7/E10b/T12a_train00,50,0.641686,1.038357,0.867424,0.801255,1.729929,0.572414,0.571535,1.946704,0.435986,0.486374
M1/N7/E10b/T12a_train00,51,0.638882,0.97561,0.878788,0.815104,1.701464,0.572414,0.578518,1.93268,0.449827,0.489115
M1/N7/E10b/T12a_train00,52,0.608326,0.913868,0.888258,0.8285,1.674253,0.572414,0.584839,1.921363,0.439446,0.491002
M1/N7/E10b/T12a_train00,53,0.608371,0.854766,0.890152,0.841192,1.647886,0.57931,0.590615,1.911545,0.442907,0.492912
M1/N7/E10b/T12a_train00,54,0.580878,0.797562,0.893939,0.85261,1.620974,0.57931,0.596281,1.902383,0.432526,0.495062
M1/N7/E10b/T12a_train00,55,0.546293,0.744883,0.901515,0.863069,1.595256,0.586207,0.602043,1.893749,0.432526,0.497485
M1/N7/E10b/T12a_train00,56,0.553929,0.69392,0.901515,0.87271,1.569422,0.586207,0.607791,1.883896,0.442907,0.500645
M1/N7/E10b/T12a_train00,57,0.514849,0.646096,0.901515,0.881685,1.545851,0.6,0.612916,1.876509,0.449827,0.503653
M1/N7/E10b/T12a_train00,58,0.511072,0.600986,0.909091,0.890188,1.525057,0.613793,0.617403,1.871329,0.453287,0.506535
M1/N7/E10b/T12a_train00,59,0.498474,0.561373,0.916667,0.897486,1.509544,0.62069,0.620797,1.869543,0.456747,0.509374
M1/N7/E10b/T12a_train00,60,0.475919,0.52419,0.918561,0.904571,1.49277,0.606897,0.624417,1.868464,0.463668,0.511702
