experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train00,1,2.776262,2.76656,0.035985,0.251348,2.766182,0.027586,0.251439,2.762307,0.034602,0.252389
M1/N7/E10b/T12e_train00,2,2.771458,2.759761,0.035985,0.253074,2.759403,0.027586,0.253163,2.755398,0.034602,0.254143
M1/N7/E10b/T12e_train00,3,2.737775,2.753121,0.035985,0.254775,2.752785,0.027586,0.25486,2.748666,0.034602,0.255869
M1/N7/E10b/T12e_train00,4,2.694682,2.746737,0.035985,0.256425,2.746425,0.027586,0.256505,2.742199,0.034602,0.257541
M1/N7/E10b/T12e_train00,5,2.629042,2.740534,0.035985,0.25804,2.740252,0.027586,0.258114,2.735923,0.034602,0.259178
M1/N7/E10b/T12e_train00,6,2.552876,2.734457,0.035985,0.259634,2.734214,0.027586,0.259701,2.729792,0.034602,0.26079
M1/N7/E10b/T12e_train00,7,2.453047,2.728389,0.276515,0.261239,2.728185,0.296552,0.261297,2.723685,0.283737,0.262408
M1/N7/E10b/T12e_train00,8,2.352143,2.722255,0.276515,0.262873,2.722081,0.296552,0.262925,2.717527,0.283737,0.264053
M1/N7/E10b/T12e_train00,9,2.256203,2.715977,0.276515,0.264558,2.715835,0.296552,0.264603,2.711249,0.283737,0.265743
M1/N7/E10b/T12e_train00,10,2.20309,2.709849,0.276515,0.266216,2.709756,0.296552,0.266249,2.705174,0.283737,0.267391
M1/N7/E10b/T12e_train00,11,2.125207,2.704118,0.276515,0.267777,2.704113,0.296552,0.267786,2.699577,0.283737,0.268922
M1/N7/E10b/T12e_train00,12,2.099827,2.699153,0.276515,0.269138,2.699263,0.296552,0.269116,2.694812,0.283737,0.270234
M1/N7/E10b/T12e_train00,13,2.078443,2.694894,0.352273,0.270314,2.695152,0.351724,0.270251,2.690808,0.387543,0.271347
M1/N7/E10b/T12e_train00,14,2.080634,2.691327,0.363636,0.271303,2.691755,0.344828,0.271194,2.68748,0.377163,0.272279
M1/N7/E10b/T12e_train00,15,2.10796,2.688104,0.363636,0.272201,2.688721,0.344828,0.27204,2.684474,0.377163,0.273125
M1/N7/E10b/T12e_train00,16,2.13509,2.686003,0.363636,0.272786,2.68679,0.344828,0.272579,2.682585,0.377163,0.273661
M1/N7/E10b/T12e_train00,17,2.117305,2.684754,0.363636,0.27313,2.685679,0.344828,0.272887,2.681554,0.377163,0.273954
M1/N7/E10b/T12e_train00,18,2.090392,2.683943,0.363636,0.273349,2.684993,0.344828,0.273074,2.680926,0.377163,0.27413
