experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12a_train00,1,2.981636,2.827389,0.035985,0.236728,2.829066,0.02069,0.23629,2.829103,0.038062,0.236298
M1/N7/E11a/T12a_train00,2,2.817981,2.817041,0.026515,0.239145,2.818882,0.027586,0.238671,2.819026,0.024221,0.238644
M1/N7/E11a/T12a_train00,3,2.696531,2.804264,0.024621,0.242164,2.806171,0.027586,0.241678,2.806428,0.020761,0.241616
M1/N7/E11a/T12a_train00,4,2.57487,2.786205,0.024621,0.246508,2.788427,0.027586,0.245946,2.788528,0.020761,0.245914
M1/N7/E11a/T12a_train00,5,2.460047,2.761837,0.024621,0.252533,2.764579,0.027586,0.251838,2.764085,0.020761,0.251952
M1/N7/E11a/T12a_train00,6,2.357327,2.732517,0.032197,0.260046,2.735999,0.034483,0.259155,2.734633,0.027682,0.259493
M1/N7/E11a/T12a_train00,7,2.254196,2.698167,0.410985,0.269215,2.70248,0.372414,0.268091,2.70015,0.401384,0.268695
M1/N7/E11a/T12a_train00,8,2.15246,2.657567,0.388258,0.28057,2.662828,0.372414,0.279158,2.659344,0.391003,0.28011
M1/N7/E11a/T12a_train00,9,2.056007,2.610043,0.380682,0.294549,2.616428,0.358621,0.292768,2.611915,0.387543,0.294082
M1/N7/E11a/T12a_train00,10,1.975209,2.556998,0.378788,0.310987,2.564495,0.358621,0.308798,2.559052,0.384083,0.310507
M1/N7/E11a/T12a_train00,11,1.88757,2.500664,0.378788,0.329303,2.509431,0.358621,0.326612,2.50311,0.380623,0.32877
M1/N7/E11a/T12a_train00,12,1.846295,2.443059,0.376894,0.348739,2.453293,0.358621,0.345448,2.446286,0.380623,0.348055
M1/N7/E11a/T12a_train00,13,1.7953,2.3869,0.376894,0.368113,2.398798,0.358621,0.364129,2.391473,0.380623,0.367111
M1/N7/E11a/T12a_train00,14,1.746298,2.33171,0.376894,0.38724,2.345628,0.358621,0.38242,2.338326,0.380623,0.385706
M1/N7/E11a/T12a_train00,15,1.705619,2.281026,0.378788,0.404546,2.297299,0.358621,0.398788,2.290531,0.380623,0.402223
M1/N7/E11a/T12a_train00,16,1.669042,2.235612,0.376894,0.419597,2.25461,0.358621,0.41284,2.249006,0.380623,0.416147
M1/N7/E11a/T12a_train00,17,1.67591,2.196579,0.380682,0.432144,2.218763,0.358621,0.424265,2.214749,0.384083,0.427241
M1/N7/E11a/T12a_train00,18,1.593357,2.162549,0.390152,0.442809,2.188389,0.365517,0.433661,2.18646,0.387543,0.436087
M1/N7/E11a/T12a_train00,19,1.567729,2.133645,0.416667,0.451749,2.163527,0.365517,0.4412,2.16428,0.394464,0.4428
M1/N7/E11a/T12a_train00,20,1.552089,2.109877,0.4375,0.459219,2.144321,0.386207,0.447028,2.148121,0.408304,0.447616
M1/N7/E11a/T12a_train00,21,1.511143,2.088723,0.454545,0.466115,2.12831,0.386207,0.451992,2.135476,0.415225,0.451413
