experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11b/T12b_train02,1,2.801782,2.742038,0.029557,0.257622,2.739687,0.053571,0.258187,2.741848,0.044843,0.257674
M1/N8/E11b/T12b_train02,2,2.6457,2.729424,0.270936,0.260918,2.727251,0.258929,0.261428,2.727765,0.29148,0.261352
M1/N8/E11b/T12b_train02,3,2.494745,2.70787,0.270936,0.266697,2.70532,0.258929,0.267286,2.703191,0.29148,0.267926
M1/N8/E11b/T12b_train02,4,2.381673,2.67773,0.270936,0.275036,2.675997,0.258929,0.275376,2.669862,0.29148,0.277144
M1/N8/E11b/T12b_train02,5,2.273243,2.636733,0.270936,0.286861,2.636183,0.258929,0.28684,2.624539,0.29148,0.290217
M1/N8/E11b/T12b_train02,6,2.18844,2.590252,0.270936,0.300897,2.589374,0.258929,0.300866,2.572203,0.29148,0.30599
M1/N8/E11b/T12b_train02,7,2.07132,2.530471,0.270936,0.319763,2.529428,0.258929,0.319633,2.505407,0.29148,0.327079
M1/N8/E11b/T12b_train02,8,2.018342,2.46949,0.270936,0.339884,2.468763,0.258929,0.339503,2.437545,0.29148,0.349513
M1/N8/E11b/T12b_train02,9,1.984954,2.39588,0.270936,0.364836,2.395,0.258929,0.364304,2.354884,0.29148,0.377595
M1/N8/E11b/T12b_train02,10,1.932783,2.32729,0.275862,0.388149,2.325842,0.258929,0.387618,2.277618,0.29148,0.404004
M1/N8/E11b/T12b_train02,11,1.850595,2.267168,0.352217,0.408118,2.265462,0.276786,0.407373,2.209809,0.349776,0.426669
M1/N8/E11b/T12b_train02,12,1.845712,2.215914,0.433498,0.424271,2.214342,0.357143,0.423135,2.152592,0.412556,0.444908
M1/N8/E11b/T12b_train02,13,1.812079,2.165834,0.413793,0.438679,2.165132,0.330357,0.436824,2.096445,0.412556,0.461242
M1/N8/E11b/T12b_train02,14,1.82375,2.122366,0.403941,0.449886,2.122824,0.321429,0.447295,2.047914,0.399103,0.473951
M1/N8/E11b/T12b_train02,15,1.785627,2.085728,0.399015,0.458343,2.088029,0.321429,0.454956,2.006709,0.390135,0.483645
M1/N8/E11b/T12b_train02,16,1.776126,2.0644,0.349754,0.462555,2.067872,0.285714,0.458234,1.983618,0.349776,0.488039
M1/N8/E11b/T12b_train02,17,1.701487,2.052064,0.320197,0.464321,2.058077,0.267857,0.458905,1.972688,0.32287,0.489177
M1/N8/E11b/T12b_train02,18,1.692341,2.039397,0.302956,0.466301,2.048707,0.258929,0.459403,1.961915,0.304933,0.490383
M1/N8/E11b/T12b_train02,19,1.64605,2.033595,0.300493,0.467278,2.046048,0.258929,0.459132,1.959261,0.300448,0.490394
M1/N8/E11b/T12b_train02,20,1.662632,2.029621,0.288177,0.467156,2.044963,0.258929,0.457536,1.959175,0.300448,0.488856
M1/N8/E11b/T12b_train02,21,1.593017,2.028241,0.285714,0.466579,2.047072,0.258929,0.455229,1.962709,0.295964,0.486624
M1/N8/E11b/T12b_train02,22,1.610923,2.025173,0.293103,0.468056,2.048613,0.258929,0.454991,1.965534,0.300448,0.486304
M1/N8/E11b/T12b_train02,23,1.613102,2.020213,0.295567,0.469124,2.049015,0.258929,0.454142,1.966079,0.300448,0.485624
M1/N8/E11b/T12b_train02,24,1.514625,2.023913,0.29064,0.467881,2.05784,0.258929,0.450781,1.975952,0.300448,0.482202
M1/N8/E11b/T12b_train02,25,1.513742,2.02208,0.300493,0.46924,2.061207,0.258929,0.449953,1.980872,0.300448,0.481249
M1/N8/E11b/T12b_train02,26,1.519167,2.024689,0.29803,0.468835,2.06692,0.258929,0.447972,1.989468,0.300448,0.478752
M1/N8/E11b/T12b_train02,27,1.474086,2.026307,0.315271,0.470112,2.072948,0.258929,0.447156,1.997979,0.313901,0.477477
M1/N8/E11b/T12b_train02,28,1.454233,2.028253,0.325123,0.471775,2.079848,0.285714,0.446483,2.007273,0.327354,0.476314
M1/N8/E11b/T12b_train02,29,1.405029,2.028153,0.347291,0.474131,2.085556,0.294643,0.446315,2.015957,0.32287,0.475448
M1/N8/E11b/T12b_train02,30,1.409716,2.023294,0.349754,0.476913,2.085967,0.294643,0.446611,2.01704,0.327354,0.475798
M1/N8/E11b/T12b_train02,31,1.401463,2.013829,0.376847,0.481266,2.084134,0.294643,0.447419,2.015486,0.336323,0.476884
M1/N8/E11b/T12b_train02,32,1.379832,2.000326,0.396552,0.486614,2.078206,0.3125,0.449444,2.009074,0.35426,0.479236
M1/N8/E11b/T12b_train02,33,1.355491,1.99193,0.403941,0.490768,2.078704,0.321429,0.449565,2.010117,0.349776,0.479577
M1/N8/E11b/T12b_train02,34,1.335556,1.984342,0.406404,0.493905,2.081583,0.321429,0.448533,2.013257,0.358744,0.478608
M1/N8/E11b/T12b_train02,35,1.289674,1.971264,0.408867,0.498445,2.078351,0.321429,0.4488,2.010394,0.349776,0.47899
M1/N8/E11b/T12b_train02,36,1.278795,1.952935,0.421182,0.504924,2.07299,0.321429,0.449839,2.003657,0.35426,0.480829
M1/N8/E11b/T12b_train02,37,1.233576,1.932508,0.421182,0.511158,2.065234,0.330357,0.450872,1.994416,0.35426,0.482647
M1/N8/E11b/T12b_train02,38,1.225764,1.912311,0.431034,0.517193,2.057933,0.330357,0.452048,1.985556,0.35426,0.484258
M1/N8/E11b/T12b_train02,39,1.183964,1.888789,0.445813,0.526502,2.051354,0.339286,0.454397,1.977641,0.358744,0.487284
M1/N8/E11b/T12b_train02,40,1.159296,1.870882,0.450739,0.532326,2.048848,0.339286,0.454542,1.975426,0.363229,0.487416
M1/N8/E11b/T12b_train02,41,1.13699,1.843564,0.458128,0.541656,2.042375,0.348214,0.455951,1.967377,0.363229,0.489573
M1/N8/E11b/T12b_train02,42,1.121524,1.812286,0.460591,0.549767,2.033521,0.348214,0.456078,1.956539,0.367713,0.49078
M1/N8/E11b/T12b_train02,43,1.129159,1.780505,0.480296,0.560008,2.027798,0.339286,0.456891,1.948952,0.372197,0.492609
M1/N8/E11b/T12b_train02,44,1.095313,1.750836,0.475369,0.565396,2.022596,0.348214,0.45503,1.942981,0.376682,0.491281
M1/N8/E11b/T12b_train02,45,1.058719,1.715078,0.475369,0.571607,2.013065,0.339286,0.453471,1.931696,0.372197,0.490819
M1/N8/E11b/T12b_train02,46,1.067816,1.678745,0.492611,0.583244,2.006916,0.339286,0.454938,1.924168,0.381166,0.49326
M1/N8/E11b/T12b_train02,47,1.037172,1.639842,0.517241,0.594857,1.997578,0.339286,0.45682,1.912294,0.38565,0.496382
M1/N8/E11b/T12b_train02,48,1.01671,1.602013,0.541872,0.611039,1.991602,0.330357,0.460518,1.904762,0.394619,0.501382
M1/N8/E11b/T12b_train02,49,1.006582,1.566287,0.561576,0.622123,1.988643,0.339286,0.461051,1.900557,0.403587,0.502787
M1/N8/E11b/T12b_train02,50,0.993079,1.524541,0.58867,0.636277,1.985737,0.339286,0.46157,1.892851,0.412556,0.505817
M1/N8/E11b/T12b_train02,51,0.926462,1.488413,0.608374,0.647982,1.989036,0.321429,0.459459,1.891964,0.412556,0.506368
M1/N8/E11b/T12b_train02,52,0.924945,1.443187,0.623153,0.662285,1.987674,0.3125,0.458656,1.887389,0.44843,0.508097
M1/N8/E11b/T12b_train02,53,0.908762,1.391494,0.633005,0.675706,1.982839,0.3125,0.457399,1.879166,0.44843,0.509237
M1/N8/E11b/T12b_train02,54,0.890747,1.340609,0.64532,0.686313,1.982775,0.330357,0.45435,1.873321,0.443946,0.508349
M1/N8/E11b/T12b_train02,55,0.864657,1.290594,0.662562,0.700835,1.981677,0.3125,0.453769,1.870818,0.439462,0.50913
M1/N8/E11b/T12b_train02,56,0.843536,1.243195,0.679803,0.714565,1.983401,0.321429,0.452804,1.867091,0.439462,0.510418
M1/N8/E11b/T12b_train02,57,0.822537,1.197188,0.689655,0.726682,1.991222,0.321429,0.45035,1.864551,0.44843,0.510919
M1/N8/E11b/T12b_train02,58,0.83345,1.145884,0.70197,0.740489,2.001781,0.3125,0.447511,1.861012,0.452915,0.511937
M1/N8/E11b/T12b_train02,59,0.77617,1.105333,0.724138,0.752038,2.015513,0.3125,0.444328,1.863365,0.461883,0.511453
M1/N8/E11b/T12b_train02,60,0.773999,1.060767,0.741379,0.764053,2.028664,0.303571,0.441839,1.863888,0.452915,0.51117
M1/N8/E11b/T12b_train02,61,0.740637,1.016925,0.770936,0.776632,2.042386,0.321429,0.439128,1.865045,0.439462,0.510723
M1/N8/E11b/T12b_train02,62,0.757451,0.977173,0.785714,0.787643,2.05599,0.321429,0.436584,1.870488,0.430493,0.508932
M1/N8/E11b/T12b_train02,63,0.71821,0.932663,0.79803,0.798187,2.063999,0.3125,0.435378,1.870599,0.439462,0.508109
M1/N8/E11b/T12b_train02,64,0.696277,0.890944,0.810345,0.80725,2.077862,0.3125,0.432936,1.875699,0.439462,0.505694
M1/N8/E11b/T12b_train02,65,0.672992,0.851642,0.825123,0.816457,2.100302,0.3125,0.429515,1.888265,0.426009,0.502024
M1/N8/E11b/T12b_train02,66,0.657164,0.81668,0.834975,0.824101,2.128018,0.321429,0.425533,1.904277,0.434978,0.498279
M1/N8/E11b/T12b_train02,67,0.644684,0.772963,0.844828,0.832515,2.15035,0.321429,0.423062,1.911588,0.434978,0.496997
M1/N8/E11b/T12b_train02,68,0.653561,0.730511,0.85468,0.844386,2.165694,0.303571,0.422212,1.915002,0.443946,0.497474
M1/N8/E11b/T12b_train02,69,0.653439,0.695377,0.869458,0.852783,2.192959,0.321429,0.41959,1.927365,0.443946,0.496279
M1/N8/E11b/T12b_train02,70,0.61569,0.662837,0.876847,0.861709,2.215376,0.339286,0.417519,1.935354,0.439462,0.496561
M1/N8/E11b/T12b_train02,71,0.613481,0.635982,0.87931,0.868922,2.246136,0.357143,0.413941,1.948125,0.430493,0.496141
M1/N8/E11b/T12b_train02,72,0.583659,0.605738,0.891626,0.875793,2.278449,0.339286,0.411538,1.963316,0.421525,0.495481
M1/N8/E11b/T12b_train02,73,0.564831,0.576368,0.896552,0.88267,2.308445,0.330357,0.409512,1.976652,0.421525,0.495719
M1/N8/E11b/T12b_train02,74,0.567742,0.545061,0.896552,0.888789,2.338602,0.321429,0.408017,1.991688,0.41704,0.495844
M1/N8/E11b/T12b_train02,75,0.544771,0.521493,0.896552,0.893013,2.371383,0.330357,0.405813,2.011139,0.421525,0.495008
M1/N8/E11b/T12b_train02,76,0.54573,0.492748,0.903941,0.898696,2.395194,0.330357,0.404797,2.024785,0.430493,0.494632
M1/N8/E11b/T12b_train02,77,0.523638,0.465685,0.903941,0.904239,2.418157,0.330357,0.40477,2.044502,0.41704,0.492083
M1/N8/E11b/T12b_train02,78,0.54218,0.445764,0.913793,0.90855,2.433353,0.285714,0.406926,2.066376,0.412556,0.488718
M1/N8/E11b/T12b_train02,79,0.492135,0.429932,0.913793,0.911192,2.461584,0.267857,0.406446,2.091699,0.41704,0.485659
M1/N8/E11b/T12b_train02,80,0.467194,0.412461,0.91133,0.914636,2.50044,0.267857,0.401961,2.114404,0.412556,0.483101
M1/N8/E11b/T12b_train02,81,0.495199,0.394295,0.91133,0.917075,2.54909,0.276786,0.395836,2.142149,0.408072,0.480776
M1/N8/E11b/T12b_train02,82,0.48366,0.380783,0.908867,0.918765,2.603857,0.267857,0.390507,2.16861,0.412556,0.479185
M1/N8/E11b/T12b_train02,83,0.501851,0.368139,0.906404,0.920577,2.660947,0.258929,0.383515,2.191381,0.421525,0.4772
M1/N8/E11b/T12b_train02,84,0.450239,0.355266,0.913793,0.923406,2.696343,0.25,0.382127,2.200465,0.41704,0.475569
M1/N8/E11b/T12b_train02,85,0.498804,0.342205,0.918719,0.925933,2.73963,0.267857,0.381303,2.218772,0.41704,0.474829
M1/N8/E11b/T12b_train02,86,0.476581,0.331756,0.923645,0.927272,2.792553,0.267857,0.378932,2.243665,0.412556,0.474093
M1/N8/E11b/T12b_train02,87,0.397192,0.322301,0.923645,0.928321,2.844728,0.285714,0.374969,2.27216,0.408072,0.473569
M1/N8/E11b/T12b_train02,88,0.417982,0.313254,0.916256,0.928827,2.900502,0.276786,0.370267,2.311196,0.408072,0.472281
M1/N8/E11b/T12b_train02,89,0.414305,0.308615,0.916256,0.928314,2.961271,0.294643,0.372247,2.370349,0.412556,0.471091
M1/N8/E11b/T12b_train02,90,0.386042,0.309282,0.913793,0.926667,3.014798,0.303571,0.375859,2.431933,0.421525,0.470414
M1/N8/E11b/T12b_train02,91,0.39597,0.304753,0.91133,0.927084,3.041574,0.3125,0.378423,2.46012,0.434978,0.469426
M1/N8/E11b/T12b_train02,92,0.395995,0.292908,0.916256,0.930213,3.028416,0.321429,0.379028,2.44395,0.430493,0.467723
M1/N8/E11b/T12b_train02,93,0.395562,0.278099,0.923645,0.934299,3.032894,0.321429,0.378833,2.419271,0.399103,0.466025
M1/N8/E11b/T12b_train02,94,0.390414,0.268067,0.928571,0.937924,3.024025,0.330357,0.379165,2.396044,0.399103,0.466482
M1/N8/E11b/T12b_train02,95,0.378297,0.26349,0.931034,0.939257,3.020349,0.321429,0.37932,2.38759,0.408072,0.468746
M1/N8/E11b/T12b_train02,96,0.376883,0.259863,0.931034,0.940159,3.014266,0.321429,0.380664,2.393953,0.412556,0.468118
M1/N8/E11b/T12b_train02,97,0.368474,0.253399,0.931034,0.941922,3.02816,0.339286,0.380199,2.406104,0.403587,0.467463
M1/N8/E11b/T12b_train02,98,0.341949,0.249219,0.926108,0.941368,3.073003,0.3125,0.37952,2.436353,0.399103,0.468665
M1/N8/E11b/T12b_train02,99,0.352068,0.244809,0.928571,0.941901,3.093065,0.330357,0.379928,2.450766,0.408072,0.471125
M1/N8/E11b/T12b_train02,100,0.36527,0.24061,0.935961,0.943464,3.060462,0.339286,0.383666,2.451836,0.41704,0.471128
