experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E11a/T12b_train02,1,2.822608,2.765326,0.028517,0.251857,2.776588,0.020833,0.249052,2.76719,0.017361,0.251382
M1/N9/E11a/T12b_train02,2,2.654487,2.756552,0.028517,0.254098,2.76789,0.020833,0.251245,2.758711,0.017361,0.253533
M1/N9/E11a/T12b_train02,3,2.503233,2.742248,0.041825,0.257818,2.754294,0.020833,0.254735,2.745281,0.024306,0.257011
M1/N9/E11a/T12b_train02,4,2.371147,2.71963,0.403042,0.263857,2.732558,0.340278,0.260451,2.724097,0.381944,0.262642
M1/N9/E11a/T12b_train02,5,2.257439,2.688504,0.403042,0.272476,2.702467,0.340278,0.26863,2.694432,0.381944,0.270813
M1/N9/E11a/T12b_train02,6,2.176488,2.650369,0.403042,0.283498,2.665163,0.340278,0.279171,2.657856,0.381944,0.281319
M1/N9/E11a/T12b_train02,7,2.031955,2.604374,0.403042,0.297465,2.61974,0.340278,0.292588,2.613447,0.381944,0.294696
M1/N9/E11a/T12b_train02,8,1.96439,2.551629,0.403042,0.314354,2.567381,0.340278,0.308804,2.562235,0.381944,0.31092
M1/N9/E11a/T12b_train02,9,1.870561,2.493539,0.403042,0.333873,2.509214,0.340278,0.327597,2.505556,0.381944,0.329705
M1/N9/E11a/T12b_train02,10,1.845027,2.433499,0.403042,0.354793,2.448602,0.340278,0.347799,2.44671,0.381944,0.349864
M1/N9/E11a/T12b_train02,11,1.793595,2.374521,0.403042,0.375681,2.388504,0.340278,0.368117,2.388764,0.381944,0.37
M1/N9/E11a/T12b_train02,12,1.698797,2.317275,0.403042,0.395923,2.329911,0.340278,0.387913,2.332547,0.381944,0.389499
M1/N9/E11a/T12b_train02,13,1.696629,2.264656,0.403042,0.414129,2.275889,0.340278,0.405878,2.28118,0.381944,0.406955
M1/N9/E11a/T12b_train02,14,1.68783,2.216896,0.403042,0.430093,2.227212,0.340278,0.421671,2.23509,0.381944,0.422128
M1/N9/E11a/T12b_train02,15,1.655998,2.176638,0.403042,0.443003,2.186893,0.340278,0.434386,2.197041,0.381944,0.434161
M1/N9/E11a/T12b_train02,16,1.614441,2.141424,0.404943,0.453989,2.153522,0.340278,0.444573,2.164964,0.381944,0.443993
M1/N9/E11a/T12b_train02,17,1.593752,2.112171,0.404943,0.463,2.128304,0.340278,0.452026,2.139981,0.381944,0.451453
M1/N9/E11a/T12b_train02,18,1.568261,2.086287,0.406844,0.471076,2.108942,0.347222,0.457498,2.119531,0.381944,0.457524
M1/N9/E11a/T12b_train02,19,1.508535,2.065469,0.408745,0.477816,2.097064,0.347222,0.460687,2.105477,0.381944,0.461726
M1/N9/E11a/T12b_train02,20,1.469431,2.047657,0.408745,0.483812,2.090229,0.347222,0.462315,2.095393,0.385417,0.464795
M1/N9/E11a/T12b_train02,21,1.422655,2.030241,0.412548,0.489768,2.085317,0.347222,0.463304,2.086753,0.388889,0.467454
M1/N9/E11a/T12b_train02,22,1.394285,2.014956,0.414449,0.495154,2.08418,0.347222,0.463172,2.081244,0.388889,0.469196
M1/N9/E11a/T12b_train02,23,1.356014,2.002574,0.414449,0.499761,2.087005,0.347222,0.461941,2.079419,0.388889,0.469865
M1/N9/E11a/T12b_train02,24,1.348561,1.992079,0.420152,0.503943,2.092266,0.347222,0.460155,2.080077,0.388889,0.469872
M1/N9/E11a/T12b_train02,25,1.339502,1.982536,0.429658,0.507982,2.098551,0.333333,0.458238,2.082289,0.388889,0.469462
M1/N9/E11a/T12b_train02,26,1.28568,1.972703,0.431559,0.512292,2.104682,0.333333,0.456533,2.084879,0.388889,0.469007
M1/N9/E11a/T12b_train02,27,1.279767,1.964337,0.439163,0.516354,2.112256,0.333333,0.454501,2.089464,0.395833,0.467987
M1/N9/E11a/T12b_train02,28,1.251842,1.955635,0.45057,0.520683,2.119431,0.347222,0.452675,2.094212,0.413194,0.466891
M1/N9/E11a/T12b_train02,29,1.179102,1.946131,0.479087,0.525316,2.126436,0.354167,0.45085,2.098886,0.423611,0.465727
M1/N9/E11a/T12b_train02,30,1.162917,1.933058,0.507605,0.53112,2.131053,0.375,0.449713,2.101084,0.434028,0.465327
M1/N9/E11a/T12b_train02,31,1.152869,1.917736,0.528517,0.537595,2.1347,0.388889,0.448753,2.102111,0.430556,0.465228
M1/N9/E11a/T12b_train02,32,1.085589,1.899801,0.547529,0.544927,2.137335,0.388889,0.448037,2.101863,0.434028,0.46549
M1/N9/E11a/T12b_train02,33,1.078553,1.879036,0.570342,0.553319,2.138554,0.409722,0.447793,2.100451,0.461806,0.466152
M1/N9/E11a/T12b_train02,34,1.054668,1.855416,0.593156,0.562526,2.138895,0.423611,0.447693,2.097749,0.479167,0.467188
M1/N9/E11a/T12b_train02,35,1.047775,1.830748,0.608365,0.572019,2.139779,0.423611,0.447395,2.095382,0.486111,0.468112
M1/N9/E11a/T12b_train02,36,1.015127,1.800395,0.623574,0.583201,2.136982,0.423611,0.448116,2.089404,0.506944,0.470179
M1/N9/E11a/T12b_train02,37,0.970932,1.766209,0.661597,0.595426,2.132418,0.444444,0.449315,2.081248,0.506944,0.472924
M1/N9/E11a/T12b_train02,38,0.947882,1.729186,0.674905,0.608271,2.126703,0.444444,0.450762,2.071801,0.503472,0.475992
M1/N9/E11a/T12b_train02,39,0.896521,1.687827,0.697719,0.622212,2.119866,0.451389,0.452333,2.060693,0.496528,0.479518
M1/N9/E11a/T12b_train02,40,0.931427,1.644469,0.711027,0.636534,2.112745,0.458333,0.453994,2.049026,0.5,0.483201
M1/N9/E11a/T12b_train02,41,0.851944,1.597804,0.722433,0.651656,2.104769,0.465278,0.455839,2.036394,0.506944,0.487163
M1/N9/E11a/T12b_train02,42,0.836662,1.551862,0.743346,0.666787,2.098206,0.479167,0.457441,2.025722,0.503472,0.490527
M1/N9/E11a/T12b_train02,43,0.825621,1.505285,0.758555,0.681564,2.092765,0.486111,0.458552,2.015809,0.503472,0.493539
