dataset,Node_Idx,Edge_Idx,Text_Idx,variant,split,n_rows,n_nodes,n_edges,isolated_frac,mean_degree,status,S_GNN_step1,pseudo_r2,accuracy,n_classes,seconds
amazon,N7,E10b,T12a,N7/E10b/T12a,test,50000,40146,871877,0.09540178626775742,43.43531036376953,ok,0.6911528224369952,0.6911528224369952,,47,167.48330998420715
amazon,N7,E10b,T12b,N7/E10b/T12b,test,50000,40146,871877,0.09540178626775742,43.43531036376953,ok,0.6870577856870919,0.6870577856870919,,47,159.90209197998047
amazon,N7,E10b,T12e,N7/E10b/T12e,test,50000,40146,871877,0.09540178626775742,43.43531036376953,ok,0.0,-0.004713560728507149,,47,135.56420874595642
amazon,N7,E10c,T12a,N7/E10c/T12a,test,50000,40146,871877,0.09540178626775742,43.43531036376953,ok,0.6916024668162839,0.6916024668162839,,47,155.24434208869934
amazon,N7,E10c,T12b,N7/E10c/T12b,test,50000,40146,871877,0.09540178626775742,43.43531036376953,ok,0.6910986655087097,0.6910986655087097,,47,201.16407179832458
amazon,N7,E10c,T12e,N7/E10c/T12e,test,50000,40146,871877,0.09540178626775742,43.43531036376953,ok,0.0,-0.005301899680234312,,47,265.8449079990387
amazon,N7,E11a,T12a,N7/E11a/T12a,test,50000,40146,76387,0.4967867136001587,3.805459976196289,ok,0.7138857189990234,0.7138857189990234,,47,56.90292000770569
amazon,N7,E11a,T12b,N7/E11a/T12b,test,50000,40146,161225,0.35029640793800354,8.031933784484863,ok,0.7167191488233368,0.7167191488233368,,47,89.7259111404419
amazon,N7,E11a,T12e,N7/E11a/T12e,test,50000,40146,0,1.0,0.0,ok,0.0,-0.0009784449554752772,,47,34.418829917907715
amazon,N7,E11b,T12a,N7/E11b/T12a,test,50000,40146,197755,0.0,9.851791381835938,ok,0.682215950824922,0.682215950824922,,47,85.91635322570801
amazon,N7,E11b,T12b,N7/E11b/T12b,test,50000,40146,197755,0.0,9.851791381835938,ok,0.6793927457503934,0.6793927457503934,,47,85.84200286865234
amazon,N7,E11b,T12e,N7/E11b/T12e,test,50000,40146,197755,0.0,9.851791381835938,ok,0.0,-0.0013769655858404395,,47,82.53165888786316
amazon,N8,E10a,T12a,N8/E10a/T12a,test,50000,13319,7260,0.7033560872077942,1.0901719331741333,ok,0.5211854269752618,0.5211854269752618,,47,10.555822134017944
amazon,N8,E10a,T12b,N8/E10a/T12b,test,50000,13319,7260,0.7033560872077942,1.0901719331741333,ok,0.5272967914547056,0.5272967914547056,,47,9.683977842330933
amazon,N8,E10a,T12e,N8/E10a/T12e,test,50000,13319,7260,0.7033560872077942,1.0901719331741333,ok,0.002819230190317934,0.002819230190317934,,47,9.35103178024292
amazon,N8,E10b,T12a,N8/E10b/T12a,test,50000,13319,29813,0.4495082199573517,4.476762294769287,ok,0.49806842358433634,0.49806842358433634,,47,17.67296528816223
amazon,N8,E10b,T12b,N8/E10b/T12b,test,50000,13319,29813,0.4495082199573517,4.476762294769287,ok,0.5066190033467175,0.5066190033467175,,47,12.910230159759521
amazon,N8,E10b,T12e,N8/E10b/T12e,test,50000,13319,29813,0.4495082199573517,4.476762294769287,ok,0.0,-0.013493029062776163,,47,13.873576402664185
amazon,N8,E10c,T12a,N8/E10c/T12a,test,50000,13319,29813,0.4495082199573517,4.476762294769287,ok,0.5034034058417867,0.5034034058417867,,47,12.329214096069336
amazon,N8,E10c,T12b,N8/E10c/T12b,test,50000,13319,29813,0.4495082199573517,4.476762294769287,ok,0.49388795886922243,0.49388795886922243,,47,14.240539073944092
amazon,N8,E10c,T12e,N8/E10c/T12e,test,50000,13319,29813,0.4495082199573517,4.476762294769287,ok,0.0,-0.014709873711298727,,47,14.551536798477173
amazon,N8,E11a,T12a,N8/E11a/T12a,test,50000,13319,115836,0.44470304250717163,17.39409828186035,ok,0.5156774851185576,0.5156774851185576,,47,41.70146822929382
amazon,N8,E11a,T12b,N8/E11a/T12b,test,50000,13319,115836,0.44470304250717163,17.39409828186035,ok,0.5156786504625213,0.5156786504625213,,47,36.67003297805786
amazon,N8,E11a,T12e,N8/E11a/T12e,test,50000,13319,0,1.0,0.0,ok,0.0,-0.0028631373435299423,,47,4.355162143707275
amazon,N8,E11b,T12a,N8/E11b/T12a,test,50000,13319,65676,0.0,9.862001419067383,ok,0.5034840777174656,0.5034840777174656,,47,24.90614914894104
amazon,N8,E11b,T12b,N8/E11b/T12b,test,50000,13319,65676,0.0,9.862001419067383,ok,0.5012443242110207,0.5012443242110207,,47,34.54701113700867
amazon,N8,E11b,T12e,N8/E11b/T12e,test,50000,13319,65676,0.0,9.862001419067383,ok,0.0,-0.0034222768956500005,,47,33.76466107368469
amazon,N9,E10b,T12a,N9/E10b/T12a,test,50000,35540,851899,0.08719752728939056,47.94029235839844,ok,0.6699583470331372,0.6699583470331372,,47,474.3831686973572
amazon,N9,E10b,T12b,N9/E10b/T12b,test,50000,35540,851899,0.08719752728939056,47.94029235839844,ok,0.6700096413238378,0.6700096413238378,,47,390.1687660217285
amazon,N9,E10b,T12e,N9/E10b/T12e,test,50000,35540,851899,0.08719752728939056,47.94029235839844,ok,0.0,-0.00615275573291596,,47,323.5131468772888
amazon,N9,E10c,T12a,N9/E10c/T12a,test,50000,35540,851899,0.08719752728939056,47.94029235839844,ok,0.6698113627424309,0.6698113627424309,,47,151.76827383041382
amazon,N9,E10c,T12b,N9/E10c/T12b,test,50000,35540,851899,0.08719752728939056,47.94029235839844,ok,0.6710110204837797,0.6710110204837797,,47,150.27989506721497
amazon,N9,E10c,T12e,N9/E10c/T12e,test,50000,35540,851899,0.08719752728939056,47.94029235839844,ok,0.0,-0.004184768488615376,,47,135.81325912475586
amazon,N9,E11a,T12a,N9/E11a/T12a,test,50000,35540,98556,0.41437816619873047,5.546201229095459,ok,0.700085342127912,0.700085342127912,,47,27.912544012069702
amazon,N9,E11a,T12b,N9/E11a/T12b,test,50000,35540,98556,0.41437816619873047,5.546201229095459,ok,0.7007122228953903,0.7007122228953903,,47,27.71261501312256
amazon,N9,E11a,T12e,N9/E11a/T12e,test,50000,35540,0,1.0,0.0,ok,0.0,-0.0012794643140279227,,47,11.080551862716675
amazon,N9,E11b,T12a,N9/E11b/T12a,test,50000,35540,174518,0.0,9.820934295654297,ok,0.6635689254513704,0.6635689254513704,,47,239.12446284294128
amazon,N9,E11b,T12b,N9/E11b/T12b,test,50000,35540,174518,0.0,9.820934295654297,ok,0.6600579369569801,0.6600579369569801,,47,241.57138204574585
amazon,N9,E11b,T12e,N9/E11b/T12e,test,50000,35540,174518,0.0,9.820934295654297,ok,0.0,-0.001304944558215393,,47,237.74454402923584
