dataset,Node_Idx,Edge_Idx,Text_Idx,variant,split,n_rows,n_nodes,n_edges,isolated_frac,mean_degree,status,S_GNN_step1,pseudo_r2,accuracy,n_classes,seconds
electronics,N7,E10c,T12a,N7/E10c/T12a,test,27425,14881,327842,0.05933741107583046,44.061824798583984,ok,0.7917813767956028,0.7917813767956028,,11,115.7656478881836
electronics,N7,E10c,T12b,N7/E10c/T12b,test,27425,14881,327842,0.05933741107583046,44.061824798583984,ok,0.7963001169488021,0.7963001169488021,,11,115.70955801010132
electronics,N7,E11a,T12a,N7/E11a/T12a,test,27425,14881,59396,0.34164372086524963,7.982796669006348,ok,0.8208405931358579,0.8208405931358579,,11,26.051767110824585
electronics,N7,E11a,T12b,N7/E11a/T12b,test,27425,14881,127075,0.19561856985092163,17.078824996948242,ok,0.829835155563566,0.829835155563566,,11,38.34294319152832
electronics,N7,E11b,T12a,N7/E11b/T12a,test,27425,14881,70711,0.0,9.503527641296387,ok,0.7904703716624754,0.7904703716624754,,11,16.636281728744507
electronics,N7,E11b,T12b,N7/E11b/T12b,test,27425,14881,70711,0.0,9.503527641296387,ok,0.8058332731994962,0.8058332731994962,,11,32.47958517074585
electronics,N8,E10a,T12a,N8/E10a/T12a,test,27425,6499,10883,0.48207417130470276,3.349130630493164,ok,0.5536246544460766,0.5536246544460766,,11,7.6468117237091064
electronics,N8,E10a,T12b,N8/E10a/T12b,test,27425,6499,10883,0.48207417130470276,3.349130630493164,ok,0.5651469976382852,0.5651469976382852,,11,7.7655298709869385
electronics,N8,E10c,T12a,N8/E10c/T12a,test,27425,6499,82224,0.15279273688793182,25.303585052490234,ok,0.5110953665145966,0.5110953665145966,,11,30.12367010116577
electronics,N8,E10c,T12b,N8/E10c/T12b,test,27425,6499,82224,0.15279273688793182,25.303585052490234,ok,0.49222844829154744,0.49222844829154744,,11,31.255192756652832
electronics,N8,E11a,T12a,N8/E11a/T12a,test,27425,6499,142489,0.24665333330631256,43.84951400756836,ok,0.5093284017729236,0.5093284017729236,,11,50.845879793167114
electronics,N8,E11a,T12b,N8/E11a/T12b,test,27425,6499,142489,0.24665333330631256,43.84951400756836,ok,0.5217325973646321,0.5217325973646321,,11,49.41099405288696
electronics,N8,E11b,T12a,N8/E11b/T12a,test,27425,6499,30422,0.0,9.362055778503418,ok,0.021603564284856547,0.021603564284856547,,11,8.214274883270264
electronics,N8,E11b,T12b,N8/E11b/T12b,test,27425,6499,30422,0.0,9.362055778503418,ok,0.014153761337019288,0.014153761337019288,,11,7.719414949417114
electronics,N9,E10c,T12a,N9/E10c/T12a,test,27425,11745,319373,0.04171987995505333,54.38450241088867,ok,0.757372283604421,0.757372283604421,,11,84.96202898025513
electronics,N9,E10c,T12b,N9/E10c/T12b,test,27425,11745,319373,0.04171987995505333,54.38450241088867,ok,0.7568839828473821,0.7568839828473821,,11,109.98733806610107
electronics,N9,E11a,T12a,N9/E11a/T12a,test,27425,11745,66239,0.28301405906677246,11.279522895812988,ok,0.7874253417657826,0.7874253417657826,,11,24.764896154403687
electronics,N9,E11a,T12b,N9/E11a/T12b,test,27425,11745,66239,0.28301405906677246,11.279522895812988,ok,0.790168102471241,0.790168102471241,,11,23.957988023757935
electronics,N9,E11b,T12a,N9/E11b/T12a,test,27425,11745,54861,0.0,9.342018127441406,ok,0.760418681788066,0.760418681788066,,11,51.413609981536865
electronics,N9,E11b,T12b,N9/E11b/T12b,test,27425,11745,54861,0.0,9.342018127441406,ok,0.7602697089791208,0.7602697089791208,,11,38.2240948677063
