dataset,Node_Idx,Edge_Idx,Text_Idx,variant,split,n_rows,n_nodes,n_edges,isolated_frac,mean_degree,status,S_GNN_step1,pseudo_r2,seconds,accuracy,n_classes
history,N7,E10b,T12a,N7/E10b/T12a,test,20775,20775,3379378,0.14474128186702728,325.3312072753906,too_dense,,,37.83674907684326,,
history,N7,E10b,T12b,N7/E10b/T12b,test,20775,20775,3379378,0.14474128186702728,325.3312072753906,too_dense,,,38.59852480888367,,
history,N7,E10b,T12e,N7/E10b/T12e,test,20775,20775,3379378,0.14474128186702728,325.3312072753906,too_dense,,,39.26555109024048,,
history,N7,E10c,T12a,N7/E10c/T12a,test,20775,20775,130840,0.1587003618478775,12.595908164978027,ok,0.5857638965909928,0.5857638965909928,25.629847049713135,,12.0
history,N7,E10c,T12b,N7/E10c/T12b,test,20775,20775,130840,0.1587003618478775,12.595908164978027,ok,0.5849164536471665,0.5849164536471665,25.04806089401245,,12.0
history,N7,E10c,T12e,N7/E10c/T12e,test,20775,20775,130840,0.1587003618478775,12.595908164978027,ok,0.0,-0.06417004832709194,22.180609941482544,,12.0
history,N7,E11a,T12a,N7/E11a/T12a,test,20775,20775,8615,0.764187753200531,0.8293622136116028,ok,0.5526846526747535,0.5526846526747535,5.59700608253479,,12.0
history,N7,E11a,T12b,N7/E11a/T12b,test,20775,20775,12247,0.6258002519607544,1.1790132522583008,ok,0.5409627035714328,0.5409627035714328,6.212282180786133,,12.0
history,N7,E11a,T12e,N7/E11a/T12e,test,20775,20775,0,1.0,0.0,ok,0.0,-0.002031700038526152,5.146175146102905,,12.0
history,N7,E11b,T12a,N7/E11b/T12a,test,20775,20775,91966,0.0,8.85352611541748,ok,0.542376727069186,0.542376727069186,58.61568737030029,,12.0
history,N7,E11b,T12b,N7/E11b/T12b,test,20775,20775,91966,0.0,8.85352611541748,ok,0.5236350943129284,0.5236350943129284,60.35538697242737,,12.0
history,N7,E11b,T12e,N7/E11b/T12e,test,20775,20775,91966,0.0,8.85352611541748,ok,0.0,-0.0028896270401286284,60.08581590652466,,12.0
