Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.8520070314407349,0.5782312925170068,0.7312925170068028,0.6005433201789856,0.5782312925170068,,,,0.4205427223912528,final_score,0.0,,0.4205427223912528,0.4730398755828966,0.0,0.4205427223912528,-0.09962262941567643,graph_lift,0.0,980,68.618,7.296330850432762,3.2739408258425513,47,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14496392011642456,final_score,0.0333746511788503,,0.0333746511788503,0.0,0.0333746511788503,0.0333746511788503,0.0333746511788503,graph_lift,3.33746511788503,980,68.618,7.296330850432762,,47,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.8665348291397095,0.5757575757575758,0.7441077441077442,0.6132587790489197,0.5757575757575758,,,,0.3876919629416248,final_score,0.0,,0.3876919629416248,0.4464211726163454,0.0,0.3876919629416248,-0.10609005758455187,graph_lift,0.0,988,71.171,7.29249614737439,3.2389935699073416,47,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18041381239891052,final_score,0.0,,0.0,0.025758131733937113,0.0,0.0,-0.026439154970603906,graph_lift,0.0,988,71.171,7.29249614737439,,47,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.9491143226623535,0.5723905723905723,0.7104377104377104,0.5971440076828003,0.5723905723905723,,,,0.36377812257043596,final_score,0.0,,0.36377812257043596,0.394213788888956,0.0,0.36377812257043596,-0.05024159639206609,graph_lift,0.0,990,70.979,7.312019931721842,3.1935219765300435,47,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.20167474448680878,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,990,70.979,7.312019931721842,,47,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.9368294477462769,0.5671140939597316,0.7516778523489933,0.5940378904342651,0.5671140939597316,,,,0.3863635744223578,final_score,0.0,,0.3863635744223578,0.4232686955443986,0.0,0.3863635744223578,-0.06399014729550177,graph_lift,0.0,993,66.069,7.31450490936905,3.2544080451755177,47,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17132368683815002,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,993,66.069,7.31450490936905,,47,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.8068794012069702,0.5738255033557047,0.7516778523489933,0.6163060665130615,0.5738255033557047,,,,0.4345192279587283,final_score,0.0,,0.4345192279587283,0.44307486578914035,0.0,0.4345192279587283,-0.015362276372272216,graph_lift,0.0,991,69.446,7.325647312884652,3.2935284891155434,47,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1790364384651184,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,991,69.446,7.325647312884652,,47,train,False,,,,4
M1,N7,E10b,T12a,categorical,1.7467451095581055,0.6073825503355704,0.7449664429530202,0.6356588006019592,0.6073825503355704,,,,0.4505967933950741,final_score,0.0,,0.4505967933950741,0.510897985951133,0.0,0.4505967933950741,-0.12328960180898813,graph_lift,0.0,992,68.552,7.281902291794099,3.251455148566704,47,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1376360058784485,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,992,68.552,7.281902291794099,,47,train,False,,,,5
M1,N7,E10b,T12a,categorical,1.880875587463379,0.5906040268456376,0.7114093959731543,0.6126577258110046,0.5906040268456376,,,,0.39676351276119926,final_score,0.0,,0.39676351276119926,0.445083078269192,0.0,0.39676351276119926,-0.08707531454849515,graph_lift,0.0,991,71.512,7.298147136286968,3.207844303730446,47,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1493859440088272,final_score,0.0,,0.0,0.10632947495064042,0.0,0.0,-0.11898062201924763,graph_lift,0.0,991,71.512,7.298147136286968,,47,train,False,,,,6
M1,N7,E10b,T12a,categorical,2.0924181938171387,0.5317725752508361,0.6622073578595318,0.5537188053131104,0.5317725752508361,,,,0.3494883260873194,final_score,0.0,,0.3494883260873194,0.37699286538343035,0.0,0.3494883260873194,-0.04414803261127765,graph_lift,0.0,994,68.508,7.314719743127351,3.2462722698526933,47,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.16296426951885223,final_score,0.0,,0.28343649441208274,0.290951261599233,0.0,0.28343649441208274,-0.010598378898606533,graph_lift,0.0,994,68.508,7.314719743127351,,47,train,False,,,,7
