Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.9832723736763,0.73,0.8866666666666667,0.7541408538818359,0.73,,,,0.571082244712367,final_score,0.0,,0.571082244712367,0.5897442360116825,0.0,0.571082244712367,-0.04548867544941275,graph_lift,0.0,1000,130.415,7.250427333922261,2.3655266638301,18,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1078387126326561,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,130.415,7.250427333922261,,18,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.114600419998169,0.7,0.8666666666666667,0.7261893153190613,0.7,,,,0.5260780663340394,final_score,0.00664535077479545,,0.5260780663340394,0.5229076201177398,0.00664535077479545,0.5260780663340394,0.00664535077479545,graph_lift,0.664535077479545,1000,130.661,7.2721683415079115,2.4031174329209217,18,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08565719425678253,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,130.661,7.2721683415079115,,18,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.0750843286514282,0.7033333333333334,0.8633333333333333,0.7280541062355042,0.7033333333333334,,,,0.5428972121878979,final_score,0.027094141599222587,,0.5428972121878979,0.5301675040137297,0.027094141599222587,0.5428972121878979,0.027094141599222587,graph_lift,2.7094141599222588,1000,134.048,7.247702458283311,2.3920726910571597,18,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09322390705347061,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,134.048,7.247702458283311,,18,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.055592656135559,0.7233333333333334,0.8733333333333333,0.7598899006843567,0.7233333333333334,,,,0.5395053447992615,final_score,0.0,,0.5395053447992615,0.5640083212029053,0.0,0.5395053447992615,-0.05620055977042453,graph_lift,0.0,1000,135.502,7.265949791697949,2.3726144625127072,18,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08513078838586807,final_score,0.07719192601357519,,0.20640791970941322,0.1400247758319233,0.07719192601357519,0.20640791970941322,0.07719192601357519,graph_lift,7.719192601357519,1000,135.502,7.265949791697949,,18,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.07823646068573,0.7233333333333334,0.87,0.7444148063659668,0.7233333333333334,,,,0.5519581627382237,final_score,0.0,,0.5519581627382237,0.5810707694596782,0.0,0.5519581627382237,-0.06949289903668433,graph_lift,0.0,1000,130.462,7.251963988434811,2.402910732768787,18,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08000288903713226,final_score,0.0,,0.19997106194323672,0.2853737941607114,0.0,0.19997106194323672,-0.11950685759861542,graph_lift,0.0,1000,130.462,7.251963988434811,,18,train,False,,,,4
M1,N7,E10b,T12a,categorical,0.9961847066879272,0.7166666666666667,0.8666666666666667,0.751136064529419,0.7166666666666667,,,,0.5761039510153877,final_score,0.043170638338035854,,0.5761039510153877,0.556978426907462,0.043170638338035854,0.5761039510153877,0.043170638338035854,graph_lift,4.317063833803585,1000,127.871,7.266763744180336,2.362344106964197,18,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11334065347909927,final_score,0.051941017682056535,,0.09656011268645522,0.04706362772420325,0.051941017682056535,0.09656011268645522,0.051941017682056535,graph_lift,5.194101768205654,1000,127.871,7.266763744180336,,18,train,False,,,,5
M1,N7,E10b,T12a,categorical,1.2417558431625366,0.6666666666666666,0.8566666666666667,0.7049954533576965,0.6666666666666666,,,,0.4717424261176796,final_score,0.0,,0.4717424261176796,0.5033408395477854,0.0,0.4717424261176796,-0.06362192816766948,graph_lift,0.0,1000,130.484,7.277705975503222,2.384797051128486,18,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11374922841787338,final_score,0.0,,0.0,0.01785696118041864,0.0,0.0,-0.018181629838644048,graph_lift,0.0,1000,130.484,7.277705975503222,,18,train,False,,,,6
M1,N7,E10b,T12a,categorical,1.0251924991607666,0.7266666666666667,0.8733333333333333,0.7536750435829163,0.7266666666666667,,,,0.5550519881850533,final_score,0.0,,0.5550519881850533,0.5783420575600287,0.0,0.5550519881850533,-0.055234508901231015,graph_lift,0.0,1000,130.496,7.275616620089293,2.38816630064099,18,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11088854819536209,final_score,0.0,,0.08972089569765677,0.14854594695097784,0.0,0.08972089569765677,-0.06908775763374542,graph_lift,0.0,1000,130.496,7.275616620089293,,18,train,False,,,,7
M1,N7,E10b,T12a,categorical,0.989975094795227,0.74,0.9033333333333333,0.762512743473053,0.74,,,,0.5688082585205094,final_score,0.02114941067404019,,0.5688082585205094,0.5594917690386121,0.02114941067404019,0.5688082585205094,0.02114941067404019,graph_lift,2.1149410674040188,1000,132.112,7.27290147341245,2.3342164789814053,18,train,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09747841209173203,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,132.112,7.27290147341245,,18,train,False,,,,8
M1,N7,E10b,T12a,categorical,1.254593849182129,0.6466666666666666,0.8633333333333333,0.7002224922180176,0.6466666666666666,,,,0.47618865799336085,final_score,0.0,,0.47618865799336085,0.5048081039573515,0.0,0.47618865799336085,-0.05779465736960653,graph_lift,0.0,1000,133.045,7.287921745518222,2.3981303281711464,18,train,False,,,,9
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11124162375926971,final_score,0.0,,0.03395433627459703,0.10448617390390075,0.0,0.03395433627459703,-0.07876130504514937,graph_lift,0.0,1000,133.045,7.287921745518222,,18,train,False,,,,9
M1,N7,E10b,T12a,categorical,1.0405484437942505,0.7,0.88,0.7371124625205994,0.7,,,,0.5634636844233688,final_score,0.0,,0.5634636844233688,0.5773934026863201,0.0,0.5634636844233688,-0.032961431154876104,graph_lift,0.0,1000,131.982,7.264667586894771,2.416162934373314,18,test,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08773285895586014,final_score,0.18215127330018452,,0.18215127330018452,0.0,0.18215127330018452,0.18215127330018452,0.18215127330018452,graph_lift,18.21512733001845,1000,131.982,7.264667586894771,,18,test,False,,,,0
M1,N7,E10b,T12a,categorical,1.0589545965194702,0.7166666666666667,0.8766666666666667,0.7457634210586548,0.7166666666666667,,,,0.5456489797956361,final_score,0.0,,0.5456489797956361,0.5602293572135509,0.0,0.5456489797956361,-0.03315450373297206,graph_lift,0.0,1000,130.454,7.271147626033245,2.3198012076256393,18,test,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08777406811714172,final_score,0.0,,0.20642622503804908,0.27837400862522493,0.0,0.20642622503804908,-0.09970231733215094,graph_lift,0.0,1000,130.454,7.271147626033245,,18,test,False,,,,1
M1,N7,E10b,T12a,categorical,1.0753107070922852,0.7066666666666667,0.8966666666666666,0.7329365611076355,0.7066666666666667,,,,0.5446608842183616,final_score,0.0,,0.5446608842183616,0.5463906219577964,0.0,0.5446608842183616,-0.0038132759664283697,graph_lift,0.0,1000,127.922,7.276562610250561,2.375907371809314,18,test,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0705334022641182,final_score,0.04336173084350367,,0.279380126571612,0.246716447938273,0.04336173084350367,0.279380126571612,0.04336173084350367,graph_lift,4.336173084350367,1000,127.922,7.276562610250561,,18,test,False,,,,2
M1,N7,E10b,T12a,categorical,1.1737204790115356,0.68,0.84,0.7086265087127686,0.68,,,,0.4892305014439309,final_score,0.0,,0.4892305014439309,0.4989368174662072,0.0,0.4892305014439309,-0.019371441288488056,graph_lift,0.0,1000,132.339,7.274006898134298,2.3363844779491934,18,test,False,,,,3
