Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.9570472240447998,0.7208480565371025,0.9081272084805654,0.7552775144577026,0.7208480565371025,,,,0.4705313915130894,final_score,0.0,,0.4705313915130894,0.5800384580920506,0.0,0.4705313915130894,-0.26075498742445274,graph_lift,0.0,942,81.856,7.267783572427003,1.9398877074557266,11,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13031257688999176,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,942,81.856,7.267783572427003,,11,train,False,,,,0
M1,N7,E10b,T12a,categorical,0.9270607829093933,0.7275985663082437,0.8888888888888888,0.757090151309967,0.7275985663082437,,,,0.535103887206452,final_score,0.0,,0.535103887206452,0.5922622283242178,0.0,0.535103887206452,-0.14018407194125745,graph_lift,0.0,928,90.066,7.273790040038103,1.9789384960686383,11,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17087966203689575,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,928,90.066,7.273790040038103,,11,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.91884845495224,0.7455830388692579,0.9045936395759717,0.7703120112419128,0.7455830388692579,,,,0.5309985339022177,final_score,0.0,,0.5309985339022177,0.5895036843990595,0.0,0.5309985339022177,-0.14252296128698252,graph_lift,0.0,941,85.483,7.279968831883709,1.9092726165157483,11,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07537375390529633,final_score,0.02815783805842411,,0.09107323142817533,0.0647382834719343,0.02815783805842411,0.09107323142817533,0.02815783805842411,graph_lift,2.815783805842411,941,85.483,7.279968831883709,,11,train,False,,,,2
M1,N7,E10b,T12a,categorical,0.7989146113395691,0.762589928057554,0.9568345323741008,0.7954105734825134,0.762589928057554,,,,0.5901254564664484,final_score,0.0,,0.5901254564664484,0.63019315767776,0.0,0.5901254564664484,-0.10834764700323632,graph_lift,0.0,926,82.432,7.258965695505445,1.9428333552567538,11,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09079600870609283,final_score,0.0,,0.0,0.03253172705536141,0.0,0.0,-0.033625626767424734,graph_lift,0.0,926,82.432,7.258965695505445,,11,train,False,,,,3
M1,N7,E10b,T12a,categorical,0.9423460364341736,0.7375886524822695,0.8971631205673759,0.7683960199356079,0.7375886524822695,,,,0.5086397232255027,final_score,0.0,,0.5086397232255027,0.5278166280928462,0.0,0.5086397232255027,-0.04061325749335021,graph_lift,0.0,940,89.265,7.304572333494657,1.9428805738390156,11,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09891949594020844,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,940,89.265,7.304572333494657,,11,train,False,,,,4
M1,N7,E10b,T12a,categorical,0.8887135982513428,0.7553191489361702,0.9184397163120568,0.7769066691398621,0.7553191489361702,,,,0.5586157695611906,final_score,0.0,,0.5586157695611906,0.5981756261120299,0.0,0.5586157695611906,-0.09845061455099456,graph_lift,0.0,937,83.085,7.290022556548218,1.9601203724017915,11,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10847988724708557,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,937,83.085,7.290022556548218,,11,train,False,,,,5
