Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.7387162446975708,0.7933333333333333,0.9166666666666666,0.8141124844551086,0.7933333333333333,,,,0.4648168952718249,final_score,0.13925996902610507,,0.4648168952718249,0.3782290988341328,0.13925996902610507,0.4648168952718249,0.13925996902610507,graph_lift,13.925996902610507,1000,216.379,7.646386072090627,1.3871449488211753,10,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07134350389242172,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,216.379,7.646386072090627,,10,train,False,,,,0
M1,N7,E10b,T12a,categorical,0.8843587040901184,0.7766666666666666,0.9033333333333333,0.7847170233726501,0.7766666666666666,,,,0.3610675410757519,final_score,0.12730438281198403,,0.3610675410757519,0.2678633347752969,0.12730438281198403,0.3610675410757519,0.12730438281198403,graph_lift,12.730438281198403,1000,206.996,7.620898819468372,1.386668040094565,11,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08649031817913055,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,206.996,7.620898819468372,,11,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.8306581377983093,0.7766666666666666,0.92,0.7886477112770081,0.7766666666666666,,,,0.38614174479688,final_score,0.09858885251663631,,0.38614174479688,0.3190030354994592,0.09858885251663631,0.38614174479688,0.09858885251663631,graph_lift,9.858885251663631,1000,218.288,7.631200822139385,1.3335399472977523,11,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.06317935138940811,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,218.288,7.631200822139385,,11,train,False,,,,2
M1,N7,E10b,T12a,categorical,0.7986083030700684,0.76,0.9433333333333334,0.802132785320282,0.76,,,,0.37577721338142034,final_score,0.09294898605727668,,0.37577721338142034,0.3118107173429643,0.09294898605727668,0.37577721338142034,0.09294898605727668,graph_lift,9.294898605727669,1000,221.007,7.621309470123625,1.3223657103782767,10,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11117283254861832,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,221.007,7.621309470123625,,10,train,False,,,,3
M1,N7,E10b,T12a,categorical,0.714754581451416,0.78,0.9633333333333334,0.8163620829582214,0.78,,,,0.43065432033741047,final_score,0.0855431364686592,,0.43065432033741047,0.37739471114694456,0.0855431364686592,0.43065432033741047,0.0855431364686592,graph_lift,8.55431364686592,1000,216.039,7.643515041238322,1.2786680974452962,9,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.06525836139917374,final_score,0.042877499259660744,,0.042877499259660744,0.0,0.042877499259660744,0.042877499259660744,0.042877499259660744,graph_lift,4.287749925966074,1000,216.039,7.643515041238322,,9,train,False,,,,4
M1,N7,E10b,T12a,categorical,0.6998467445373535,0.8,0.9166666666666666,0.8192304372787476,0.8,,,,0.4862214698836336,final_score,0.0946893955359217,,0.4862214698836336,0.4324836939024803,0.0946893955359217,0.4862214698836336,0.0946893955359217,graph_lift,9.46893955359217,1000,219.817,7.682813154988811,1.3539656857810132,11,train,False,,,,5
