Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.9348722696304321,0.4532871972318339,0.7820069204152249,0.5178107619285583,0.4532871972318339,,,,0.011358254263675316,final_score,0.0,,0.011358254263675316,0.033173807350928786,0.0,0.011358254263675316,-0.022564089857226136,graph_lift,0.0,962,76.938,7.141466898934765,1.981530023253645,16,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19037123024463654,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,962,76.938,7.141466898934765,,16,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.7626420259475708,0.5017182130584192,0.7663230240549829,0.5542467832565308,0.5017182130584192,,,,0.07133682086507587,final_score,0.0,,0.07133682086507587,0.12585027924564995,0.0,0.07133682086507587,-0.06236169512647277,graph_lift,0.0,970,74.069,7.1297280538273515,1.938480051029979,16,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.20939227938652039,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,970,74.069,7.1297280538273515,,16,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.7311357259750366,0.48109965635738833,0.8487972508591065,0.5467808842658997,0.48109965635738833,,,,0.055385573935748056,final_score,0.0,,0.055385573935748056,0.10868280407336339,0.0,0.055385573935748056,-0.059796030393204906,graph_lift,0.0,969,69.989,7.153797856433556,1.9092710339652281,16,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.20049822330474854,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,969,69.989,7.153797856433556,,16,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.7011507749557495,0.5241379310344828,0.8137931034482758,0.5664160251617432,0.5241379310344828,,,,0.09445232480458154,final_score,0.0,,0.09445232480458154,0.16305259321608356,0.0,0.09445232480458154,-0.0819648497091446,graph_lift,0.0,965,69.917,7.128457081857102,1.9078331533390003,16,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1927253007888794,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,965,69.917,7.128457081857102,,16,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.7914127111434937,0.4915254237288136,0.8033898305084746,0.5436025261878967,0.4915254237288136,,,,0.01570949830667323,final_score,0.0,,0.01570949830667323,0.0351549901899475,0.0,0.01570949830667323,-0.020154005757984355,graph_lift,0.0,981,69.616,7.1649466236313,1.8300692043804085,16,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2140466868877411,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,981,69.616,7.1649466236313,,16,train,False,,,,4
M1,N7,E10b,T12a,categorical,1.6820294857025146,0.5498281786941581,0.7800687285223368,0.5860888957977295,0.5498281786941581,,,,0.1387409690880551,final_score,0.0,,0.1387409690880551,0.2031617964824013,0.0,0.1387409690880551,-0.08084555573510903,graph_lift,0.0,967,70.535,7.13501214397503,2.0196009763851985,16,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19491881132125854,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,967,70.535,7.13501214397503,,16,train,False,,,,5
M1,N7,E10b,T12a,categorical,1.8994592428207397,0.4452054794520548,0.7157534246575342,0.503045380115509,0.4452054794520548,,,,0.06529492678349857,final_score,0.0,,0.06529492678349857,0.12421188232078872,0.0,0.06529492678349857,-0.06727307021864687,graph_lift,0.0,971,70.191,7.148194392697357,2.0234388805453887,16,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17702123522758484,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,971,70.191,7.148194392697357,,16,train,False,,,,6
M1,N7,E10b,T12a,categorical,1.7484713792800903,0.5034246575342466,0.797945205479452,0.5479946136474609,0.5034246575342466,,,,0.15654661402547332,final_score,0.0,,0.15654661402547332,0.1863539587525227,0.0,0.15654661402547332,-0.03663428962469839,graph_lift,0.0,972,73.941,7.1424797659124994,2.0053821031845356,16,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14109040796756744,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,972,73.941,7.1424797659124994,,16,train,False,,,,7
M1,N7,E10b,T12a,categorical,1.6956675052642822,0.5517241379310345,0.803448275862069,0.5936337113380432,0.5517241379310345,,,,0.13127478988742414,final_score,0.0,,0.13127478988742414,0.18207089671933796,0.0,0.13127478988742414,-0.062103312656529575,graph_lift,0.0,964,71.6,7.140038973690058,1.9604049795123717,16,train,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15058307349681854,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,964,71.6,7.140038973690058,,16,train,False,,,,8
M1,N7,E10b,T12a,categorical,1.815954566001892,0.47619047619047616,0.7653061224489796,0.5318736433982849,0.47619047619047616,,,,0.11268859616600124,final_score,0.0,,0.11268859616600124,0.13497346920578646,0.0,0.11268859616600124,-0.02576206884582445,graph_lift,0.0,977,70.351,7.132462119219065,1.9817084222976713,16,train,False,,,,9
